"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-02-16 11:00:00";26;NULL;"0.62";NULL;"23.92";"12.58";NULL
"2018-02-16 12:00:00";26;NULL;"0.61";NULL;"28.21";"18.47";NULL
"2018-02-16 13:00:00";26;NULL;"0.63";NULL;"30.34";"19.89";NULL
"2018-02-16 14:00:00";26;NULL;"0.58";NULL;"28.89";"32.82";NULL
"2018-02-16 15:00:00";26;NULL;"0.62";NULL;"31.52";"33.86";NULL
"2018-02-16 16:00:00";26;NULL;"0.61";NULL;"34.94";"28.96";NULL
"2018-02-16 17:00:00";26;NULL;"0.59";NULL;"34.27";"29.17";NULL
"2018-02-16 18:00:00";26;NULL;"0.67";NULL;"32.71";"16.28";NULL
"2018-02-16 19:00:00";26;NULL;"0.7";NULL;"31.03";"10.07";NULL
"2018-02-16 20:00:00";26;NULL;"0.81";NULL;"32.53";"7.03";NULL
"2018-02-16 21:00:00";26;NULL;"0.77";NULL;"31.49";"5.95";NULL
"2018-02-16 22:00:00";26;NULL;"0.64";NULL;"28.31";"6.42";NULL
"2018-02-16 23:00:00";26;NULL;"0.59";NULL;"26.46";"8.77";NULL
"2018-02-17 00:00:00";26;NULL;"0.53";NULL;"24.19";"8.26";NULL
"2018-02-17 01:00:00";26;NULL;"0.53";NULL;"21.19";"6.19";NULL
"2018-02-17 02:00:00";26;NULL;"0.5";NULL;"19.11";"7.32";NULL
"2018-02-17 03:00:00";26;NULL;"0.49";NULL;"16.72";"10.38";NULL
"2018-02-17 04:00:00";26;NULL;"0.52";NULL;"16.77";"7.5";NULL
"2018-02-17 05:00:00";26;NULL;"0.6";NULL;"18.16";"7";NULL
"2018-02-17 06:00:00";26;NULL;"0.57";NULL;"16.95";"7.77";NULL
"2018-02-17 07:00:00";26;NULL;"0.56";NULL;"17.06";"6.69";NULL
"2018-02-17 08:00:00";26;NULL;"0.57";NULL;"16.88";"8.42";NULL
"2018-02-17 09:00:00";26;NULL;"0.57";NULL;"17.07";"16.15";NULL
"2018-02-17 10:00:00";26;NULL;"0.5";NULL;"19.92";"56.91";NULL
"2018-02-17 11:00:00";26;NULL;"0.42";NULL;"17.02";"72.94";NULL
"2018-02-17 12:00:00";26;NULL;"0.17";NULL;"14.05";"84.97";NULL
"2018-02-17 13:00:00";26;NULL;"0.17";NULL;"13.42";"85.12";NULL
"2018-02-17 14:00:00";26;NULL;"0.18";NULL;"14.12";"84.18";NULL
"2018-02-17 15:00:00";26;NULL;"0.17";NULL;"15.05";"85.88";NULL
"2018-02-17 16:00:00";26;NULL;"0.17";NULL;"15.94";"83.57";NULL
"2018-02-17 17:00:00";26;NULL;"0.16";NULL;"18.65";"86.31";NULL
"2018-02-17 18:00:00";26;NULL;"0.16";NULL;"20.4";"85.5";NULL
"2018-02-17 19:00:00";26;NULL;"0.18";NULL;"18.83";"78.81";NULL
"2018-02-17 20:00:00";26;NULL;"0.17";NULL;"20.66";"78.47";NULL
"2018-02-17 21:00:00";26;NULL;"0.18";NULL;"21.35";"72.47";NULL
"2018-02-17 22:00:00";26;NULL;"0.18";NULL;"20.36";"72.85";NULL
"2018-02-17 23:00:00";26;NULL;"0.19";NULL;"18.14";"73.56";NULL
"2018-02-18 00:00:00";26;NULL;"0.17";NULL;NULL;NULL;NULL
"2018-02-18 01:00:00";26;NULL;"0.17";NULL;NULL;NULL;NULL
"2018-02-18 02:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 03:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 04:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 05:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 06:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 07:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 08:00:00";26;NULL;"0.16";NULL;NULL;NULL;NULL
"2018-02-18 09:00:00";26;NULL;"0.17";NULL;NULL;NULL;NULL
"2018-02-18 10:00:00";26;NULL;"0.18";NULL;NULL;NULL;NULL
"2018-02-18 11:00:00";26;NULL;"0.23";NULL;NULL;NULL;NULL
"2018-02-21 00:00:00";26;NULL;"0.13";NULL;"11.82";"75.59";NULL
"2018-02-21 01:00:00";26;NULL;"0.13";NULL;"10.79";"77.79";NULL
"2018-02-21 02:00:00";26;NULL;"0.12";NULL;"9.7";"79.25";NULL
"2018-02-21 03:00:00";26;NULL;"0.12";NULL;"9.7";"77.38";NULL
"2018-02-21 04:00:00";26;NULL;"0.12";NULL;"9.62";"75.42";NULL
"2018-02-21 05:00:00";26;NULL;"0.13";NULL;"10.44";"75.53";NULL
"2018-02-21 06:00:00";26;NULL;"0.14";NULL;"12.38";"75.04";NULL
"2018-02-21 07:00:00";26;NULL;"0.15";NULL;"15.16";"73.41";NULL
"2018-02-21 08:00:00";26;NULL;"0.16";NULL;"22.23";"64.13";NULL
"2018-02-21 09:00:00";26;NULL;"0.16";NULL;"22.2";"66.87";NULL
"2018-02-21 10:00:00";26;NULL;"0.15";NULL;"17.98";"70.27";NULL
"2018-02-21 11:00:00";26;NULL;"0.18";NULL;"18.99";"61.25";NULL
"2018-02-21 12:00:00";26;NULL;"0.18";NULL;"18.75";"56.98";NULL
