"id_measure";"phenomenon_time";"pollutant";"value";"road_section_id"
15388;"2018-07-18 19:00:00";"NOx";"0";"550334459"
15389;"2018-07-18 19:00:00";"NOx";"1.30906232386453";"461914833"
15390;"2018-07-18 19:00:00";"NOx";"0";"27932024"
15391;"2018-07-18 19:00:00";"NOx";"0";"24433906"
15392;"2018-07-18 19:00:00";"NOx";"0";"147760125"
15393;"2018-07-18 19:00:00";"NOx";"0.187008903409218";"142892713"
15394;"2018-07-18 19:00:00";"NOx";"0.0358421258474728";"142781473"
15395;"2018-07-18 19:00:00";"NOx";"0";"124774635"
15396;"2018-07-18 19:00:00";"NOx";"0.0275872325366051";"73888644"
15397;"2018-07-18 19:00:00";"NOx";"0.0034032697162838";"148830505"
15398;"2018-07-18 19:00:00";"NOx";"0";"41921149"
15399;"2018-07-18 19:00:00";"NOx";"0.647852272524792";"246778928"
15400;"2018-07-18 19:00:00";"NOx";"0";"136467312"
15401;"2018-07-18 19:00:00";"NOx";"0";"147760105"
15402;"2018-07-18 19:00:00";"NOx";"0.0255772097378529";"368954521"
15403;"2018-07-18 19:00:00";"NOx";"0";"167872327"
15404;"2018-07-18 19:00:00";"NOx";"0";"544194052"
15405;"2018-07-18 19:00:00";"NOx";"0";"108690053"
15406;"2018-07-18 19:00:00";"NOx";"0.0275872325366051";"669310412"
15407;"2018-07-18 19:00:00";"NOx";"0";"24327798"
15408;"2018-07-18 19:00:00";"NOx";"0.431901515016528";"146414779"
15409;"2018-07-18 19:00:00";"NOx";"0";"116494074"
15410;"2018-07-18 19:00:00";"NOx";"0.0128776033188927";"24320064"
15411;"2018-07-18 19:00:00";"NOx";"0.0430123430584966";"465221871"
15412;"2018-07-18 19:00:00";"NOx";"0";"48394092"
15413;"2018-07-18 19:00:00";"NOx";"0";"137684973"
15414;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"443690280"
15415;"2018-07-18 19:00:00";"NOx";"2.44057750431375";"5574522"
21138;"2018-07-18 19:00:00";"NOx";"0";"242102391"
15417;"2018-07-18 19:00:00";"NOx";"0.0709831367067019";"669310414"
15418;"2018-07-18 19:00:00";"NOx";"0.355094286830599";"454285990"
15419;"2018-07-18 19:00:00";"NOx";"0";"23011656"
15420;"2018-07-18 19:00:00";"NOx";"0.0383953307799475";"77867219"
15421;"2018-07-18 19:00:00";"NOx";"0";"36383572"
15422;"2018-07-18 19:00:00";"NOx";"0";"442797061"
15423;"2018-07-18 19:00:00";"NOx";"0.864916178267634";"83010511"
15424;"2018-07-18 19:00:00";"NOx";"0";"255222443"
15425;"2018-07-18 19:00:00";"NOx";"0";"553751157"
15426;"2018-07-18 19:00:00";"NOx";"0.0430123430584966";"27044756"
15427;"2018-07-18 19:00:00";"NOx";"0";"24412035"
15428;"2018-07-18 19:00:00";"NOx";"0.377357251522172";"43169642"
15429;"2018-07-18 19:00:00";"NOx";"0";"464541049"
15430;"2018-07-18 19:00:00";"NOx";"0";"428248168"
15431;"2018-07-18 19:00:00";"NOx";"0.014329565684943";"116662382"
15432;"2018-07-18 19:00:00";"NOx";"0.0106024321611804";"7983980"
15433;"2018-07-18 19:00:00";"NOx";"0";"99260534"
15434;"2018-07-18 19:00:00";"NOx";"0";"36893228"
15435;"2018-07-18 19:00:00";"NOx";"0";"136858699"
15436;"2018-07-18 19:00:00";"NOx";"0";"37437665"
15437;"2018-07-18 19:00:00";"NOx";"0";"147760083"
15438;"2018-07-18 19:00:00";"NOx";"0";"147760360"
15439;"2018-07-18 19:00:00";"NOx";"0";"40033940"
15440;"2018-07-18 19:00:00";"NOx";"0";"49359831"
15441;"2018-07-18 19:00:00";"NOx";"0.180330014001746";"121410692"
15442;"2018-07-18 19:00:00";"NOx";"0";"35552875"
15443;"2018-07-18 19:00:00";"NOx";"0.0150393302445485";"56154468"
15444;"2018-07-18 19:00:00";"NOx";"0";"42300474"
15445;"2018-07-18 19:00:00";"NOx";"0.863803030033055";"679122850"
15446;"2018-07-18 19:00:00";"NOx";"0.022905783671084";"39502354"
15447;"2018-07-18 19:00:00";"NOx";"0";"292867736"
15448;"2018-07-18 19:00:00";"NOx";"0";"48394091"
15449;"2018-07-18 19:00:00";"NOx";"0";"148827526"
15450;"2018-07-18 19:00:00";"NOx";"0";"37746045"
15451;"2018-07-18 19:00:00";"NOx";"0.00680595471650643";"418278961"
15452;"2018-07-18 19:00:00";"NOx";"0";"613952776"
15453;"2018-07-18 19:00:00";"NOx";"0.0420967268994852";"295400254"
15454;"2018-07-18 19:00:00";"NOx";"0";"125603866"
15455;"2018-07-18 19:00:00";"NOx";"0";"81073588"
15456;"2018-07-18 19:00:00";"NOx";"0";"660699386"
15457;"2018-07-18 19:00:00";"NOx";"0.013609325269517";"25151308"
15458;"2018-07-18 19:00:00";"NOx";"0";"111206095"
15459;"2018-07-18 19:00:00";"NOx";"0.00113606354516399";"24412724"
15460;"2018-07-18 19:00:00";"NOx";"0";"23070199"
15461;"2018-07-18 19:00:00";"NOx";"0";"138954153"
15462;"2018-07-18 19:00:00";"NOx";"0";"48134517"
15463;"2018-07-18 19:00:00";"NOx";"0.0781400602770609";"85773342"
15464;"2018-07-18 19:00:00";"NOx";"0";"415836775"
15465;"2018-07-18 19:00:00";"NOx";"0";"147760252"
21139;"2018-07-18 19:00:00";"NOx";"0.0296170178941262";"24345470"
15467;"2018-07-18 19:00:00";"NOx";"0.20259297869332";"137000925"
15468;"2018-07-18 19:00:00";"NOx";"0.0377520402815093";"117204356"
21140;"2018-07-18 19:00:00";"NOx";"0";"24433274"
15470;"2018-07-18 19:00:00";"NOx";"0.0820638251284367";"31675267"
15471;"2018-07-18 19:00:00";"NOx";"0";"56255376"
15472;"2018-07-18 19:00:00";"NOx";"0";"57717042"
15473;"2018-07-18 19:00:00";"NOx";"0";"419897273"
15474;"2018-07-18 19:00:00";"NOx";"0";"49074662"
15475;"2018-07-18 19:00:00";"NOx";"0";"49359842"
15476;"2018-07-18 19:00:00";"NOx";"0.0164318303779952";"26286342"
21141;"2018-07-18 19:00:00";"NOx";"0.0275872325366051";"438285501"
15478;"2018-07-18 19:00:00";"NOx";"0.0309869294221953";"284801755"
15479;"2018-07-18 19:00:00";"NOx";"0.00113606354516399";"92870782"
15480;"2018-07-18 19:00:00";"NOx";"0.180330014001746";"448003811"
21142;"2018-07-18 19:00:00";"NOx";"0";"48135167"
15482;"2018-07-18 19:00:00";"NOx";"0.262702983360568";"24380995"
21143;"2018-07-18 19:00:00";"NOx";"0.00775494279697729";"131226940"
15484;"2018-07-18 19:00:00";"NOx";"0.0834267668870748";"8455011"
15485;"2018-07-18 19:00:00";"NOx";"0.00775494279697729";"671165262"
21144;"2018-07-18 19:00:00";"NOx";"0";"367996118"
15487;"2018-07-18 19:00:00";"NOx";"0";"23011667"
15488;"2018-07-18 19:00:00";"NOx";"0.0249094376532145";"108115940"
15489;"2018-07-18 19:00:00";"NOx";"0";"379477153"
15490;"2018-07-18 19:00:00";"NOx";"0";"124721221"
15491;"2018-07-18 19:00:00";"NOx";"0.0249094376532145";"80852480"
15492;"2018-07-18 19:00:00";"NOx";"0.0106024321611804";"79765733"
15493;"2018-07-18 19:00:00";"NOx";"0";"76858407"
15494;"2018-07-18 19:00:00";"NOx";"0";"221920945"
15495;"2018-07-18 19:00:00";"NOx";"0";"371895548"
15496;"2018-07-18 19:00:00";"NOx";"0";"124214432"
15497;"2018-07-18 19:00:00";"NOx";"0.047775918892572";"369854507"
15498;"2018-07-18 19:00:00";"NOx";"0";"39352564"
15499;"2018-07-18 19:00:00";"NOx";"0.158067049310172";"652862099"
15500;"2018-07-18 19:00:00";"NOx";"0";"457201383"
15501;"2018-07-18 19:00:00";"NOx";"0";"396580692"
15502;"2018-07-18 19:00:00";"NOx";"0";"36002074"
21145;"2018-07-18 19:00:00";"NOx";"0.108489223535498";"402878214"
15504;"2018-07-18 19:00:00";"NOx";"0";"383460575"
15505;"2018-07-18 19:00:00";"NOx";"0.0106024321611804";"532236718"
15506;"2018-07-18 19:00:00";"NOx";"0";"165718542"
21146;"2018-07-18 19:00:00";"NOx";"0";"498831624"
15508;"2018-07-18 19:00:00";"NOx";"0";"24576982"
15509;"2018-07-18 19:00:00";"NOx";"0";"385738684"
15510;"2018-07-18 19:00:00";"NOx";"0.0337810949783543";"27917955"
15511;"2018-07-18 19:00:00";"NOx";"0";"26285732"
15512;"2018-07-18 19:00:00";"NOx";"0";"180975153"
15513;"2018-07-18 19:00:00";"NOx";"0.00965220530092845";"24412000"
15514;"2018-07-18 19:00:00";"NOx";"0";"135616915"
15515;"2018-07-18 19:00:00";"NOx";"0.04233992260824";"24302589"
15516;"2018-07-18 19:00:00";"NOx";"0";"33800302"
15517;"2018-07-18 19:00:00";"NOx";"0";"142892599"
15518;"2018-07-18 19:00:00";"NOx";"0";"676142727"
15519;"2018-07-18 19:00:00";"NOx";"2.44057750431375";"24566276"
15520;"2018-07-18 19:00:00";"NOx";"0";"124563919"
15521;"2018-07-18 19:00:00";"NOx";"0";"113598883"
15523;"2018-07-18 19:00:00";"NOx";"0";"36384157"
15524;"2018-07-18 19:00:00";"NOx";"0.256024093953096";"23075832"
15525;"2018-07-18 19:00:00";"NOx";"0";"36892289"
15526;"2018-07-18 19:00:00";"NOx";"0";"113598874"
21148;"2018-07-18 19:00:00";"NOx";"0.289418540990457";"20812982"
15528;"2018-07-18 19:00:00";"NOx";"0.0595734127345373";"24380168"
21149;"2018-07-18 19:00:00";"NOx";"0.0496383804487015";"148897421"
15530;"2018-07-18 19:00:00";"NOx";"0.04233992260824";"27114442"
15531;"2018-07-18 19:00:00";"NOx";"0";"124236380"
15532;"2018-07-18 19:00:00";"NOx";"0.247118908076467";"660833597"
15533;"2018-07-18 19:00:00";"NOx";"0";"470007282"
15534;"2018-07-18 19:00:00";"NOx";"0";"227003698"
15535;"2018-07-18 19:00:00";"NOx";"0.214837609273685";"24320246"
15536;"2018-07-18 19:00:00";"NOx";"0";"54229791"
15537;"2018-07-18 19:00:00";"NOx";"0.0502944809878728";"53457263"
15538;"2018-07-18 19:00:00";"NOx";"0.0337810949783543";"26600584"
15539;"2018-07-18 19:00:00";"NOx";"0.369565213880122";"110963115"
15540;"2018-07-18 19:00:00";"NOx";"0.0262457788119962";"48922200"
15541;"2018-07-18 19:00:00";"NOx";"0";"373394122"
15542;"2018-07-18 19:00:00";"NOx";"0";"39372895"
15543;"2018-07-18 19:00:00";"NOx";"0.0610906553104837";"78820030"
15544;"2018-07-18 19:00:00";"NOx";"0";"124236408"
15545;"2018-07-18 19:00:00";"NOx";"0.209271868100792";"42126192"
15546;"2018-07-18 19:00:00";"NOx";"0";"138591418"
15547;"2018-07-18 19:00:00";"NOx";"0";"49359921"
15548;"2018-07-18 19:00:00";"NOx";"0";"79397054"
15549;"2018-07-18 19:00:00";"NOx";"0";"96826074"
15550;"2018-07-18 19:00:00";"NOx";"0";"446133373"
15551;"2018-07-18 19:00:00";"NOx";"0.0969764331805292";"316489965"
15552;"2018-07-18 19:00:00";"NOx";"0";"26285731"
15553;"2018-07-18 19:00:00";"NOx";"0.0289374930824083";"83017423"
15554;"2018-07-18 19:00:00";"NOx";"0";"429491271"
15555;"2018-07-18 19:00:00";"NOx";"0.221516498681157";"111847129"
15556;"2018-07-18 19:00:00";"NOx";"0";"447975618"
15557;"2018-07-18 19:00:00";"NOx";"0.108489223535498";"33800352"
15558;"2018-07-18 19:00:00";"NOx";"0.0323739532038787";"475498728"
15559;"2018-07-18 19:00:00";"NOx";"0.0150393302445485";"33800359"
15560;"2018-07-18 19:00:00";"NOx";"0.0330748280013724";"136456471"
21150;"2018-07-18 19:00:00";"NOx";"0.0289374930824083";"32620163"
15562;"2018-07-18 19:00:00";"NOx";"0.0128776033188927";"679010001"
15563;"2018-07-18 19:00:00";"NOx";"0.468635406757624";"672502471"
15564;"2018-07-18 19:00:00";"NOx";"0";"49359846"
15565;"2018-07-18 19:00:00";"NOx";"0.00870320156831907";"78431207"
15566;"2018-07-18 19:00:00";"NOx";"0.12135401153649";"24345754"
15567;"2018-07-18 19:00:00";"NOx";"0.00870320156831907";"27060748"
15568;"2018-07-18 19:00:00";"NOx";"0";"147760132"
15569;"2018-07-18 19:00:00";"NOx";"0.0820638251284367";"23077179"
15570;"2018-07-18 19:00:00";"NOx";"0";"50212433"
15571;"2018-07-18 19:00:00";"NOx";"0.0420967268994852";"666297455"
15572;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"92741389"
15573;"2018-07-18 19:00:00";"NOx";"0.16029334577933";"146144487"
15574;"2018-07-18 19:00:00";"NOx";"0";"111540145"
15575;"2018-07-18 19:00:00";"NOx";"0";"30410399"
15576;"2018-07-18 19:00:00";"NOx";"0";"465521323"
15577;"2018-07-18 19:00:00";"NOx";"0";"40602030"
15578;"2018-07-18 19:00:00";"NOx";"0";"116936657"
15579;"2018-07-18 19:00:00";"NOx";"0";"148610642"
15580;"2018-07-18 19:00:00";"NOx";"0";"80852473"
21151;"2018-07-18 19:00:00";"NOx";"0";"136215547"
15582;"2018-07-18 19:00:00";"NOx";"0.0150393302445485";"71569490"
15583;"2018-07-18 19:00:00";"NOx";"0.19368779281669";"457209345"
15584;"2018-07-18 19:00:00";"NOx";"0.11935782813019";"282857228"
15585;"2018-07-18 19:00:00";"NOx";"0";"367000603"
15586;"2018-07-18 19:00:00";"NOx";"0";"295340403"
15587;"2018-07-18 19:00:00";"NOx";"0";"117652366"
15588;"2018-07-18 19:00:00";"NOx";"0.0034032697162838";"142781483"
15589;"2018-07-18 19:00:00";"NOx";"0";"610274844"
15590;"2018-07-18 19:00:00";"NOx";"0.426335773843634";"678859245"
15591;"2018-07-18 19:00:00";"NOx";"0";"252361218"
15592;"2018-07-18 19:00:00";"NOx";"0.0242419600370969";"24302816"
15593;"2018-07-18 19:00:00";"NOx";"0.0177906263795611";"85773351"
15594;"2018-07-18 19:00:00";"NOx";"0";"39545271"
15595;"2018-07-18 19:00:00";"NOx";"0";"616107370"
15596;"2018-07-18 19:00:00";"NOx";"0.414091143263269";"92741228"
15597;"2018-07-18 19:00:00";"NOx";"0";"125644909"
15598;"2018-07-18 19:00:00";"NOx";"0";"24433940"
15599;"2018-07-18 19:00:00";"NOx";"0";"138723083"
15600;"2018-07-18 19:00:00";"NOx";"0";"459631721"
15601;"2018-07-18 19:00:00";"NOx";"0";"24433261"
21152;"2018-07-18 19:00:00";"NOx";"0";"369142665"
15603;"2018-07-18 19:00:00";"NOx";"0";"137324101"
15604;"2018-07-18 19:00:00";"NOx";"0";"369248742"
15605;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"35603672"
15606;"2018-07-18 19:00:00";"NOx";"0";"669593237"
15607;"2018-07-18 19:00:00";"NOx";"0";"108735158"
15608;"2018-07-18 19:00:00";"NOx";"0.00680595471650643";"229699027"
21153;"2018-07-18 19:00:00";"NOx";"0";"366945355"
15610;"2018-07-18 19:00:00";"NOx";"0";"135616901"
15611;"2018-07-18 19:00:00";"NOx";"0.148742542833976";"129117654"
15612;"2018-07-18 19:00:00";"NOx";"0";"669316383"
15613;"2018-07-18 19:00:00";"NOx";"0";"462863350"
15614;"2018-07-18 19:00:00";"NOx";"0.155840752841015";"25151064"
15615;"2018-07-18 19:00:00";"NOx";"0";"175409754"
15616;"2018-07-18 19:00:00";"NOx";"0.0128776033188927";"168978795"
15617;"2018-07-18 19:00:00";"NOx";"0.663436347808893";"191313679"
15618;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"146414834"
15619;"2018-07-18 19:00:00";"NOx";"0";"460960685"
15620;"2018-07-18 19:00:00";"NOx";"0.719093759537828";"115856424"
21154;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"416557443"
21155;"2018-07-18 19:00:00";"NOx";"0";"196219807"
15623;"2018-07-18 19:00:00";"NOx";"0.0249094376532145";"39520991"
15624;"2018-07-18 19:00:00";"NOx";"0.398507067979167";"292967577"
15625;"2018-07-18 19:00:00";"NOx";"0.0157396162402828";"26600245"
15626;"2018-07-18 19:00:00";"NOx";"0.0184612427090489";"99742288"
15627;"2018-07-18 19:00:00";"NOx";"0";"137324104"
15628;"2018-07-18 19:00:00";"NOx";"0.397393919744589";"121410683"
15629;"2018-07-18 19:00:00";"NOx";"0";"37390160"
21156;"2018-07-18 19:00:00";"NOx";"1.52389993313821";"438131381"
15631;"2018-07-18 19:00:00";"NOx";"0";"128631383"
15632;"2018-07-18 19:00:00";"NOx";"0.27828705864467";"89047437"
15633;"2018-07-18 19:00:00";"NOx";"0.0210957880364169";"369249721"
15634;"2018-07-18 19:00:00";"NOx";"0.0184612427090489";"24433263"
15635;"2018-07-18 19:00:00";"NOx";"0.0891412431209196";"451791164"
21157;"2018-07-18 19:00:00";"NOx";"0";"24340076"
15637;"2018-07-18 19:00:00";"NOx";"0.072115126398876";"191313677"
15638;"2018-07-18 19:00:00";"NOx";"0.00453477451833891";"167874896"
15639;"2018-07-18 19:00:00";"NOx";"0";"147760142"
15640;"2018-07-18 19:00:00";"NOx";"0";"431242012"
15641;"2018-07-18 19:00:00";"NOx";"0";"136458028"
15642;"2018-07-18 19:00:00";"NOx";"0";"131225459"
15643;"2018-07-18 19:00:00";"NOx";"0.220403350446579";"24319734"
21158;"2018-07-18 19:00:00";"NOx";"0.35398113859602";"23726206"
15645;"2018-07-18 19:00:00";"NOx";"0";"469996671"
15646;"2018-07-18 19:00:00";"NOx";"0";"24360697"
15647;"2018-07-18 19:00:00";"NOx";"0";"558621657"
15648;"2018-07-18 19:00:00";"NOx";"0";"40218250"
15649;"2018-07-18 19:00:00";"NOx";"0";"84799330"
15650;"2018-07-18 19:00:00";"NOx";"0";"154145846"
15651;"2018-07-18 19:00:00";"NOx";"0.0602934573543188";"25151303"
15652;"2018-07-18 19:00:00";"NOx";"0";"404054854"
15653;"2018-07-18 19:00:00";"NOx";"0.229308536323208";"48483588"
15654;"2018-07-18 19:00:00";"NOx";"0";"54947286"
15655;"2018-07-18 19:00:00";"NOx";"0";"264897906"
15656;"2018-07-18 19:00:00";"NOx";"0";"368535026"
15657;"2018-07-18 19:00:00";"NOx";"0";"136063159"
15658;"2018-07-18 19:00:00";"NOx";"0";"261098975"
15659;"2018-07-18 19:00:00";"NOx";"0.00227042442629465";"56154469"
15660;"2018-07-18 19:00:00";"NOx";"0";"135616914"
15661;"2018-07-18 19:00:00";"NOx";"0.047775918892572";"136655271"
21159;"2018-07-18 19:00:00";"NOx";"0.0210957880364169";"24326119"
15663;"2018-07-18 19:00:00";"NOx";"0";"28164828"
15664;"2018-07-18 19:00:00";"NOx";"0.0121333390883804";"209762078"
15666;"2018-07-18 19:00:00";"NOx";"0.0647126801406322";"15801528"
15667;"2018-07-18 19:00:00";"NOx";"0.0289374930824083";"24324917"
15668;"2018-07-18 19:00:00";"NOx";"0";"370725733"
15669;"2018-07-18 19:00:00";"NOx";"0.0262457788119962";"27060741"
15670;"2018-07-18 19:00:00";"NOx";"0";"668856135"
15671;"2018-07-18 19:00:00";"NOx";"0";"629973110"
15672;"2018-07-18 19:00:00";"NOx";"0";"138723099"
15673;"2018-07-18 19:00:00";"NOx";"0.57327134080802";"679024367"
15674;"2018-07-18 19:00:00";"NOx";"0";"463308583"
15675;"2018-07-18 19:00:00";"NOx";"0.132625366302994";"182711213"
15676;"2018-07-18 19:00:00";"NOx";"0";"424934717"
15677;"2018-07-18 19:00:00";"NOx";"0";"27932321"
21161;"2018-07-18 19:00:00";"NOx";"0";"459619354"
15679;"2018-07-18 19:00:00";"NOx";"0.0403485308872636";"465361571"
15680;"2018-07-18 19:00:00";"NOx";"0.00680595471650643";"416557436"
21162;"2018-07-18 19:00:00";"NOx";"0";"96198600"
15682;"2018-07-18 19:00:00";"NOx";"0";"34955560"
