"id";"fuel";"emission_standard";"pollutant";"emission_factor";"vehicle_type"
7055;"diesel";"euro 4";"nox";"18.9936075736128";"bus"
7056;"diesel";"euro 5";"co";"0.0186789343791291";"bus"
7057;"diesel";"euro 5";"co";"0.0191245014145167";"bus"
7058;"diesel";"euro 5";"co";"0.0209705225368286";"bus"
7059;"diesel";"euro 5";"co";"0.0667722481901996";"bus"
7060;"diesel";"euro 5";"co";"0.0540433000754628";"bus"
7061;"diesel";"euro 5";"co";"0.0445716172537744";"bus"
7062;"diesel";"euro 5";"co";"0.477248646815498";"bus"
7063;"diesel";"euro 5";"co";"0.34409173369379";"bus"
7064;"diesel";"euro 5";"co";"0.295754775612063";"bus"
7065;"diesel";"euro 5";"co";"1.10408971406641";"bus"
7066;"diesel";"euro 5";"co";"1.13783057762687";"bus"
7067;"diesel";"euro 5";"co";"1.14421650069391";"bus"
7068;"diesel";"euro 5";"co";"1.7550221970573";"bus"
7069;"diesel";"euro 5";"co";"1.80099133425177";"bus"
7070;"diesel";"euro 5";"co";"1.75470474452054";"bus"
7071;"diesel";"euro 5";"co";"2.10392301086929";"bus"
7072;"diesel";"euro 5";"co";"1.99209930330261";"bus"
7073;"diesel";"euro 5";"co";"2.27765968438384";"bus"
7074;"diesel";"euro 5";"co";"2.14404496599243";"bus"
7075;"diesel";"euro 5";"co";"2.00978744607584";"bus"
7076;"diesel";"euro 5";"co";"3.25081971792752";"bus"
7077;"diesel";"euro 5";"nox";"0.0603574010797075";"bus"
7078;"diesel";"euro 5";"nox";"0.00243951495826298";"bus"
7079;"diesel";"euro 5";"nox";"0.0134816500134696";"bus"
7080;"diesel";"euro 5";"nox";"0.323964557250597";"bus"
7081;"diesel";"euro 5";"nox";"0.0405834994847712";"bus"
7082;"diesel";"euro 5";"nox";"0.0162199674866934";"bus"
7083;"diesel";"euro 5";"nox";"2.04734747742493";"bus"
7084;"diesel";"euro 5";"nox";"0.842159989781616";"bus"
7085;"diesel";"euro 5";"nox";"0.667412781482383";"bus"
7086;"diesel";"euro 5";"nox";"2.33451550995199";"bus"
7087;"diesel";"euro 5";"nox";"2.2569401181876";"bus"
7088;"diesel";"euro 5";"nox";"2.22953893963915";"bus"
7089;"diesel";"euro 5";"nox";"2.10690002815922";"bus"
7090;"diesel";"euro 5";"nox";"2.20832493188376";"bus"
7091;"diesel";"euro 5";"nox";"2.79830259867359";"bus"
7092;"diesel";"euro 5";"nox";"2.85234683546435";"bus"
7093;"diesel";"euro 5";"nox";"3.98850201768788";"bus"
7094;"diesel";"euro 5";"nox";"4.46915519696702";"bus"
7095;"diesel";"euro 5";"nox";"3.93643985009737";"bus"
7096;"diesel";"euro 5";"nox";"5.11373661089589";"bus"
7097;"diesel";"euro 5";"nox";"6.37992292075864";"bus"
7098;"diesel";"euro 5";"co";"0.0168266994679338";"bus"
7099;"diesel";"euro 5";"co";"0.0182103991060791";"bus"
7100;"diesel";"euro 5";"co";"0.0192412751192397";"bus"
7101;"diesel";"euro 5";"co";"0.0491219604589692";"bus"
7102;"diesel";"euro 5";"co";"0.0393813468202042";"bus"
7103;"diesel";"euro 5";"co";"0.0332667465782286";"bus"
7104;"diesel";"euro 5";"co";"0.216353459497123";"bus"
7105;"diesel";"euro 5";"co";"0.124910996437912";"bus"
7106;"diesel";"euro 5";"co";"0.0990804114496229";"bus"
7107;"diesel";"euro 5";"co";"0.359011595220223";"bus"
7108;"diesel";"euro 5";"co";"0.336299771001759";"bus"
7109;"diesel";"euro 5";"co";"0.315654999728273";"bus"
7110;"diesel";"euro 5";"co";"0.361721585858597";"bus"
7111;"diesel";"euro 5";"co";"0.32946280489669";"bus"
7112;"diesel";"euro 5";"co";"0.314485822367015";"bus"
7113;"diesel";"euro 5";"co";"0.328310045677577";"bus"
7114;"diesel";"euro 5";"co";"0.395492769119301";"bus"
7115;"diesel";"euro 5";"co";"0.502311533181566";"bus"
7116;"diesel";"euro 5";"co";"0.349257880148545";"bus"
7117;"diesel";"euro 5";"co";"0.566156857003509";"bus"
7118;"diesel";"euro 5";"co";"0.749532449937561";"bus"
7119;"diesel";"euro 5";"nox";"0.104013757080212";"bus"
7120;"diesel";"euro 5";"nox";"0.106165168618396";"bus"
7121;"diesel";"euro 5";"nox";"0.107952381352913";"bus"
7122;"diesel";"euro 5";"nox";"0.293424586086423";"bus"
7123;"diesel";"euro 5";"nox";"0.26861682357635";"bus"
7124;"diesel";"euro 5";"nox";"0.257693673763984";"bus"
7125;"diesel";"euro 5";"nox";"1.04952211231402";"bus"
7126;"diesel";"euro 5";"nox";"0.873512891425111";"bus"
7127;"diesel";"euro 5";"nox";"0.848862118143548";"bus"
7128;"diesel";"euro 5";"nox";"2.674188152489";"bus"
7129;"diesel";"euro 5";"nox";"2.9268953124836";"bus"
7130;"diesel";"euro 5";"nox";"3.13600715907006";"bus"
7131;"diesel";"euro 5";"nox";"4.40501246820613";"bus"
7132;"diesel";"euro 5";"nox";"5.2877164498691";"bus"
7133;"diesel";"euro 5";"nox";"6.14574359921418";"bus"
7134;"diesel";"euro 5";"nox";"6.25151202623564";"bus"
7135;"diesel";"euro 5";"nox";"7.65959588085234";"bus"
7136;"diesel";"euro 5";"nox";"8.7086832881519";"bus"
7137;"diesel";"euro 5";"nox";"7.81347060492215";"bus"
7138;"diesel";"euro 5";"nox";"9.27656281156839";"bus"
7139;"diesel";"euro 5";"nox";"11.8830249246238";"bus"
7140;"diesel";"euro 6";"co";"0.00113660006907871";"bus"
7141;"diesel";"euro 6";"co";"0.00113406757594257";"bus"
7142;"diesel";"euro 6";"co";"0.00242855297209281";"bus"
7143;"diesel";"euro 6";"co";"0.00662826526263887";"bus"
7144;"diesel";"euro 6";"co";"0.00367332334289398";"bus"
7145;"diesel";"euro 6";"co";"0.00565466081232606";"bus"
7146;"diesel";"euro 6";"co";"0.11295148738056";"bus"
7147;"diesel";"euro 6";"co";"0.0299490263274584";"bus"
7148;"diesel";"euro 6";"co";"0.0207532473051067";"bus"
7149;"diesel";"euro 6";"co";"0.186447533013225";"bus"
7150;"diesel";"euro 6";"co";"0.155486549779567";"bus"
7151;"diesel";"euro 6";"co";"0.1257669336478";"bus"
7152;"diesel";"euro 6";"co";"0.0738152170818099";"bus"
7153;"diesel";"euro 6";"co";"0.0565720584122563";"bus"
