id;fuel;emission_standard;registration_year;class
303;petrol;euro 1;1994;motorcycle
304;petrol;euro 1;1995;motorcycle
305;petrol;euro 1;1996;motorcycle
306;petrol;euro 1;1997;motorcycle
307;petrol;euro 1;1998;motorcycle
309;petrol;euro 1;2000;motorcycle
310;petrol;euro 1;2001;motorcycle
311;petrol;euro 1;2002;motorcycle
312;petrol;euro 2;2003;motorcycle
313;petrol;euro 2;2004;motorcycle
314;petrol;euro 2;2005;motorcycle
315;petrol;euro 3;2006;motorcycle
316;petrol;euro 3;2007;motorcycle
317;petrol;euro 3;2008;motorcycle
318;petrol;euro 3;2009;motorcycle
319;petrol;euro 3;2010;motorcycle
320;petrol;euro 3;2011;motorcycle
321;petrol;euro 3;2012;motorcycle
322;petrol;euro 3;2013;motorcycle
323;petrol;euro 3;2014;motorcycle
324;petrol;euro 3;2015;motorcycle
325;petrol;euro 3;2016;motorcycle
326;petrol;euro 4;2017;motorcycle
328;petrol;euro 1;1990;motorcycle
329;petrol;euro 1;1991;motorcycle
330;petrol;euro 1;1992;motorcycle
331;petrol;euro 1;1993;motorcycle
332;petrol;euro 1;1994;motorcycle
333;petrol;euro 1;1995;motorcycle
334;petrol;euro 1;1996;motorcycle
335;petrol;euro 1;1997;motorcycle
336;petrol;euro 1;1998;motorcycle
337;petrol;euro 1;1999;motorcycle
338;petrol;euro 1;2000;motorcycle
339;petrol;euro 1;2001;motorcycle
340;petrol;euro 1;2002;motorcycle
341;petrol;euro 2;2003;motorcycle
342;petrol;euro 2;2004;motorcycle
343;petrol;euro 2;2005;motorcycle
344;petrol;euro 3;2006;motorcycle
345;petrol;euro 3;2007;motorcycle
347;petrol;euro 3;2009;motorcycle
348;petrol;euro 3;2010;motorcycle
349;petrol;euro 3;2011;motorcycle
350;petrol;euro 3;2012;motorcycle
351;petrol;euro 3;2013;motorcycle
352;petrol;euro 3;2014;motorcycle
353;petrol;euro 3;2015;motorcycle
354;petrol;euro 3;2016;motorcycle
355;petrol;euro 4;2017;motorcycle
356;petrol;euro 1;1989;motorcycle
357;petrol;euro 1;2001;motorcycle
358;petrol;euro 2;2004;motorcycle
359;petrol;euro 1;1989;motorcycle
360;petrol;euro 1;1990;motorcycle
361;petrol;euro 1;1991;motorcycle
362;petrol;euro 1;1992;motorcycle
363;petrol;euro 1;1993;motorcycle
364;petrol;euro 1;1994;motorcycle
366;petrol;euro 1;1996;motorcycle
261;petrol;euro 3;2010;motorcycle
262;petrol;euro 3;2011;motorcycle
370;petrol;euro 1;2000;motorcycle
371;petrol;euro 1;2001;motorcycle
372;petrol;euro 1;2002;motorcycle
373;petrol;euro 2;2003;motorcycle
374;petrol;euro 2;2004;motorcycle
