"id","type","vehicle_type","id_road_node_via","id_road_section_from","id_road_section_to","id_road_section_via"
2777529,"only_straight_on","all","1491287679","48394085","206641639",NULL
2777556,"only_straight_on","all","30438551","31675252","206642451",NULL
2777557,"only_straight_on","all","921128137","677251013","206642450",NULL
2777750,"only_straight_on","all","265041475","83009689","206643913",NULL
2777801,"only_straight_on","all","1128031341","49449458","206646744",NULL
2777802,"only_straight_on","all","1128031334","49449455","206646745",NULL
2778616,"no_left_turn","all","59751392","226087720","206689747",NULL
2997064,"only_straight_on","all","249092461","121410660","225543297",NULL
3006129,"only_straight_on","all","59751394","7984257","226087720",NULL
3031449,"only_straight_on","all","30438389","23133934","227745427",NULL
3217742,"only_straight_on","all","268886996","24741180","37769967",NULL
3217743,"only_straight_on","all","283248102","24741180","124669145",NULL
3245086,"only_straight_on","all","30438447","474698536","4759679",NULL
3245087,"only_straight_on","all","249707305","15801845","240529194",NULL
3245103,"only_straight_on","all","3731144656","292457836","79211009",NULL
3271836,"no_right_turn","all","2496820704","242162484","242162504",NULL
3271837,"no_left_turn","all","2496820716","242162487","242162498",NULL
3271838,"no_left_turn","all","1488902864","242162512","242162489",NULL
3271839,"only_straight_on","all","2496820708","242162505","242162491",NULL
3271840,"only_straight_on","all","2496820718","242162514","242162486",NULL
3291174,"only_straight_on","all","1246618542","243444413","620321019",NULL
3291175,"only_straight_on","all","614631985","369850826","49074658",NULL
3291177,"only_straight_on","all","1246618542","369850835","243444411",NULL
3291178,"only_straight_on","all","614631985","49074661","49074662",NULL
3291179,"only_straight_on","all","614631986","48394098","49074661",NULL
3295945,"no_right_turn","all","444585733","620350492","79714764",NULL
3314778,"only_straight_on","all","1122581768","485409179","246778928",NULL
3314779,"only_straight_on","all","1122581709","301696020","246778930",NULL
3314785,"no_left_turn","all","939285554","24412560","255823423",NULL
3314798,"only_straight_on","all","1122581610","488547895","247049302",NULL
3314838,"no_left_turn","all","252751620","279537472","138697142",NULL
3314840,"no_left_turn","all","249350114","24321716","138697142",NULL
3331549,"only_straight_on","all","59754233","146144450","4911856",NULL
3336116,"only_straight_on","all","523795127","79714763","42126192",NULL
3355502,"only_straight_on","all","626876171","369848652","249513299",NULL
3461553,"only_straight_on","all","243465475","352297769","257886241",NULL
3464449,"only_straight_on","all","2043309839","175259048","258115205",NULL
3714098,"only_straight_on","all","135563030","451757778","279311434",NULL
3714116,"no_left_turn","all","424382963","397870784","24321857",NULL
3718088,"only_straight_on","all","135562868","43017944","27622416",NULL
3718089,"only_straight_on","all","253535501","4766211","420078304",NULL
3718107,"only_straight_on","all","1122581614","301696021","279537802",NULL
3718108,"only_straight_on","all","1122581637","301696022","279537804",NULL
3755137,"only_straight_on","all","259476733","681491179","92741256",NULL
3755215,"no_left_turn","all","297326140","282856914","271090312",NULL
3755216,"only_straight_on","all","2554593015","86277807","282856914",NULL
3755225,"no_left_turn","all","297340095","464120817","282857228",NULL
3886051,"no_left_turn","all","266326618","79211016","474698536",NULL
3886052,"no_left_turn","all","158680077","295343676","15801845",NULL
3892655,"no_left_turn","all","223449118","80516122","41572927",NULL
3892662,"no_u_turn","all","1122581751","23342248","292967577",NULL
3896146,"only_straight_on","all","249316340","148897477","23126880",NULL
3896507,"only_straight_on","all","263301837","24302816","293221058",NULL
3902310,"only_straight_on","all","1246618653","293707056","489317701",NULL
3902314,"only_straight_on","all","2973004339","80362436","148897444",NULL
3912545,"only_straight_on","all","937768156","294378613","292444148",NULL
3912547,"only_straight_on","all","252406072","48921489","149303977",NULL
3918919,"only_straight_on","all","1115015859","294856762","124214428",NULL
3918945,"only_straight_on","all","1246280655","92741240","294858559",NULL
3920132,"no_left_turn","all","2985726151","294929083","24888477",NULL
3920133,"only_straight_on","all","258371201","397870778","397870781",NULL
3920137,"only_straight_on","all","1619563490","367989005","294929524",NULL
3920138,"only_straight_on","all","1619563477","373395441","148897421",NULL
3920237,"only_straight_on","all","2043309843","47457120","294932286",NULL
3926224,"only_straight_on","all","30389471","79211025","295340402",NULL
3926243,"only_straight_on","all","30438384","295343678","295343682",NULL
3926263,"only_straight_on","all","158680076","79211010","48390123",NULL
3926264,"only_straight_on","all","263710860","48390124","27621985",NULL
3926265,"only_straight_on","all","30389406","4759679","79211017",NULL
3926266,"only_straight_on","all","250175509","79211017","120916861",NULL
3946096,"only_straight_on","all","296392072","31675260","49635537",NULL
3951450,"only_straight_on","all","921128153","78488917","297082681",NULL
3951451,"only_straight_on","all","296392072","34954313","297082680",NULL
3951475,"only_straight_on","all","921128240","284801760","297084832",NULL
3954372,"no_left_turn","all","252406072","661040877","149303977",NULL
3954393,"no_u_turn","all","249502585","465217496","297286104",NULL
4261840,"no_left_turn","all","296394960","316489966","316489837",NULL
4261842,"no_left_turn","all","296395834","27040118","316489966",NULL
4499420,"no_left_turn","all","156334453","471511161","136655279",NULL
4500179,"no_right_turn","all","915372100","77869220","323075493",NULL
4548566,"only_straight_on","all","259474523","4766768","108341703",NULL
4548660,"only_straight_on","all","3325089275","325887293","325887236",NULL
4548662,"only_straight_on","all","3325093687","31872328","325887293",NULL
4589122,"only_straight_on","all","484789452","292457835","79211015",NULL
5185358,"no_left_turn","all","158680079","240529194","107693102",NULL
5185359,"no_left_turn","all","30389460","107693102","295343678",NULL
5185360,"no_left_turn","all","1122581724","146414836","347960309",NULL
5185361,"no_left_turn","all","1122581683","367989007","347960312",NULL
5185362,"no_left_turn","all","260300608","20211836","35546942",NULL
5257821,"no_left_turn","all","223449118","80516122","49288815",NULL
5257822,"no_left_turn","all","3580491992","41572929","352297770",NULL
5257823,"no_right_turn","all","3580491992","41572927","352297769",NULL
5293657,"no_u_turn","all","3600764049","354340451","354340452",NULL
5293658,"only_straight_on","all","471512364","39352455","27099071",NULL
5469159,"no_right_turn","all","30438551","169402110","206642451",NULL
5469323,"no_left_turn","all","1930735073","169402109","368004934",NULL
5473711,"no_left_turn","all","3659440320","78432405","78432404",NULL
5486325,"no_u_turn","all","534014071","369252676","369252676",NULL
5486331,"no_left_turn","all","534014071","369252676","166001796",NULL
5486332,"no_u_turn","all","3730582424","369252676","369252676",NULL
5486333,"no_left_turn","all","3730582424","369252676","369252675",NULL
5486334,"no_u_turn","all","3730582424","369252850","369252850",NULL
5486554,"no_left_turn","all","249707302","369267353","48483586",NULL
5486555,"no_left_turn","all","30438399","56154468","4766210",NULL
5486556,"no_right_turn","all","30438399","38754415","23127144",NULL
5488473,"no_left_turn","all","1562521310","369361434","369361435",NULL
5488879,"no_left_turn","all","428504479","369385216","36893228",NULL
5488880,"no_u_turn","all","428504479","369385216","369385216",NULL
5488881,"no_left_turn","all","982679570","84579871","369385216",NULL
5494106,"no_left_turn","all","3735134154","682256009","369746908",NULL
5496361,"no_left_turn","all","3735982634","675657596","369852364",NULL
5496362,"no_left_turn","all","1497207388","675657597","369852366",NULL
5496641,"no_right_turn","all","4809772588","24412720","369881604",NULL
5496642,"no_left_turn","all","4809772588","461925202","369881602",NULL
5507643,"no_left_turn","all","3744131378","24412629","322418711",NULL
5507644,"no_right_turn","all","3744131378","370721322","322418710",NULL
5511264,"no_left_turn","all","619819422","371155337","49747548",NULL
5511286,"no_left_turn","all","2043309839","451932311","258115205",NULL
5511738,"no_u_turn","all","529438068","418278966","56442817",NULL
5511739,"no_u_turn","all","529438068","165952905","165952905",NULL
5512481,"no_left_turn","all","1246618586","82878128","371275478",NULL
5512482,"no_right_turn","all","1246618586","82113292","371275477",NULL
5512483,"no_right_turn","all","632249723","136655271","371275480",NULL
5514901,"no_left_turn","all","1104344792","95195856","95195843",NULL
5514902,"no_left_turn","all","1104344792","371431803","174640134",NULL
5514903,"no_left_turn","all","3749927527","371431805","371431804",NULL
5515123,"no_u_turn","all","1609411012","147760341","147760386",NULL
5515128,"no_u_turn","all","1246745128","294929084","371456027",NULL
5515129,"no_u_turn","all","1246745128","625376055","625376055",NULL
5518081,"no_left_turn","all","1246618704","426753058","125644906",NULL
5521404,"no_left_turn","all","1974372609","38107775","371814145",NULL
5521405,"no_right_turn","all","1974372609","79518598","371814144",NULL
5521406,"no_left_turn","all","3753565673","371814146","371814148",NULL
5521407,"no_u_turn","all","3753565674","371814147","371814149",NULL
5522770,"no_u_turn","all","2505263555","243330514","243330515",NULL
5522771,"no_u_turn","all","2505263555","243092258","243092258",NULL
5522862,"no_u_turn","all","296409891","92741244","92741251",NULL
5522863,"no_u_turn","all","296409891","92741307","92741307",NULL
5522865,"no_left_turn","all","263698417","24320043","80852477",NULL
5522866,"no_u_turn","all","263698417","80852473","80852473",NULL
5522867,"no_left_turn","all","263698427","27044755","24320066",NULL
5522868,"no_u_turn","all","263698427","27044756","27044756",NULL
5522869,"no_u_turn","all","30438377","677251009","677251009",NULL
5522936,"no_left_turn","all","355738502","131225446","131225445",NULL
5522937,"no_left_turn","all","355738502","131225446","99263423",NULL
5522938,"no_left_turn","all","355732243","28248275","136491730",NULL
5522939,"no_u_turn","all","310240847","28248276","28248277",NULL
5522940,"no_u_turn","all","310240847","137644122","137644122",NULL
5552729,"no_left_turn","all","3768679635","373397821","373397823",NULL
5552730,"no_right_turn","all","3768679635","669310415","373397822",NULL
5573133,"no_u_turn","all","1523314740","138957079","138957080",NULL
5652257,"no_right_turn","all","1270508825","379457327","111540153",NULL
5652548,"no_left_turn","all","708004996","669304325","379477154",NULL
5652549,"no_u_turn","all","708004996","379477153","379477153",NULL
5652550,"no_u_turn","all","1312329062","379477153","379477153",NULL
5652551,"no_left_turn","all","1312329062","56466177","116404486",NULL
5653147,"no_left_turn","all","915409768","379524301","663252434",NULL
5653148,"no_u_turn","all","915409768","77870887","77870887",NULL
5653185,"no_straight_on","all","58850772","111540617","121436746",NULL
5657744,"no_u_turn","all","1773430309","165815568","165815559",NULL
5657745,"no_u_turn","all","1773430309","165815587","165815587",NULL
5667990,"no_u_turn","all","308025579","137644131","380493207",NULL
5667991,"no_u_turn","all","306582804","27931574","27931575",NULL
5667992,"no_u_turn","all","306582804","27931572","27931572",NULL
5667998,"no_u_turn","all","264273591","27865842","27914278",NULL
5667999,"no_u_turn","all","264273591","67514769","67514769",NULL
5668000,"no_u_turn","all","306582806","27931573","27931576",NULL
5668001,"no_u_turn","all","306582806","329722523","329722523",NULL
5668002,"no_u_turn","all","264273583","137684817","137684814",NULL
5668003,"no_u_turn","all","264273583","24360697","24360697",NULL
5668004,"no_u_turn","all","1054800974","191050373","191050373",NULL
5668005,"no_u_turn","all","1054800974","137684975","137684970",NULL
5668699,"no_left_turn","all","529437863","42406301","380566882",NULL
5668700,"no_right_turn","all","529437863","42406305","380566881",NULL
5668701,"no_left_turn","all","529437833","380566883","42406308",NULL
5668702,"no_left_turn","all","529437833","380566883","42406305",NULL
5668703,"no_left_turn","all","529437844","380566879","380566884",NULL
5668704,"no_right_turn","all","1514635214","138173999","380566879",NULL
5668705,"no_right_turn","all","1514635214","138173999","380566880",NULL
5671441,"no_right_turn","all","3840917848","48921490","380785181",NULL
5678780,"no_right_turn","all","3846575459","186892304","381456203",NULL
5681330,"no_left_turn","all","960186241","381720843","374536757",NULL
5681331,"no_left_turn","all","960186241","381720843","381720841",NULL
5681332,"no_left_turn","all","1973834352","381720841","381720843",NULL
5681333,"no_left_turn","all","1973834352","381720841","381720844",NULL
5681828,"no_left_turn","all","626874551","381749560","49359846",NULL
5684475,"no_u_turn","all","1315437986","116753208","381972825",NULL
5694422,"no_straight_on","all","534014068","382692488","166001891",NULL
5794093,"no_left_turn","all","267196958","24577229","24577230",NULL
5794094,"no_u_turn","all","267196958","24577169","24577169",NULL
5847728,"no_left_turn","all","1075626620","92741357","390639151",NULL
6008263,"no_left_turn","all","2040977833","193584640","193584639",NULL
6188780,"no_left_turn","all","2113088950","415378270","415378269",NULL
6188873,"no_left_turn","all","264100096","371896209","33685510",NULL
6191990,"no_u_turn","all","449838237","38196012","48134555",NULL
6198692,"no_u_turn","all","587661902","416604962","385408958",NULL
6198694,"no_u_turn","all","3887557683","416604960","385408959",NULL
6198695,"no_u_turn","all","587661905","385408957","416604959",NULL
6198696,"no_u_turn","all","3887557684","385408960","416604961",NULL
6199432,"no_left_turn","all","264527019","449596966","416725953",NULL
6204850,"no_right_turn","all","921128153","417329230","297082681",NULL
