"segment_number","node_start","node_end","id_road_section"
1,"59757541","223449181","7984911"
2,"223449181","223449128","7984911"
3,"223449128","3221727581","7984911"
0,"59764881","2016370428","7985932"
1,"2016370428","267195062","7985932"
0,"41270923","41270911","7985933"
0,"59764883","59764881","7985934"
0,"59764880","59764882","7985935"
0,"263345727","263345725","8454546"
1,"263345725","30389514","8454546"
2,"30389514","249789162","8454546"
3,"249789162","772595969","8454546"
4,"772595969","30389449","8454546"
0,"30389449","30389477","8454547"
0,"30389495","30389472","8454551"
1,"30389472","158680082","8454551"
0,"263689603","263689604","8455002"
0,"30438415","30459591","8455011"
1,"30459591","30438660","8455011"
0,"215942610","287571071","8548406"
1,"287571071","249092303","8548406"
0,"135562932","135562998","14183299"
1,"135562998","135563030","14183299"
0,"156233795","156233767","15667869"
0,"156233767","3063460600","15667871"
0,"30389489","296912422","15669699"
1,"296912422","6357852337","15669699"
2,"6357852337","296912418","15669699"
3,"296912418","4782886551","15669699"
4,"4782886551","4782886552","15669699"
5,"4782886552","156249819","15669699"
6,"156249819","296912413","15669699"
7,"296912413","296912411","15669699"
8,"296912411","156249779","15669699"
9,"156249779","249092425","15669699"
10,"249092425","296912405","15669699"
11,"296912405","296912402","15669699"
12,"296912402","249092427","15669699"
13,"249092427","156249788","15669699"
14,"156249788","156249795","15669699"
15,"156249795","296912425","15669699"
16,"296912425","1273425533","15669699"
17,"1273425533","249092417","15669699"
18,"249092417","759471113","15669699"
19,"759471113","248923996","15669699"
20,"248923996","248924034","15669699"
0,"265024875","156263657","15671041"
0,"156334151","156334158","15675679"
0,"156334343","156334440","15675682"
0,"4020429114","310078965","15675685"
0,"156334164","2015426330","15675690"
0,"156334335","616040402","15675691"
0,"156334304","4377864815","15801528"
0,"30389476","303673282","15801844"
1,"303673282","303673298","15801844"
2,"303673298","158680094","15801844"
0,"158680077","249707305","15801845"
0,"1830684654","199457134","19214582"
0,"248951090","248951159","19214777"
0,"199458886","907007158","19215134"
0,"213564648","213564655","20194152"
0,"252408916","245394219","20194154"
