"phenomenon_time","id_aq_legal_station","pm10","pm25"
"2018-02-18 09:00:00",26,NULL,NULL
"2018-02-18 10:00:00",26,NULL,NULL
"2018-02-18 11:00:00",26,NULL,NULL
"2018-02-21 00:00:00",26,"3.7",NULL
"2018-02-21 01:00:00",26,"5.74",NULL
"2018-02-21 02:00:00",26,"5.32",NULL
"2018-02-21 03:00:00",26,"4.52",NULL
"2018-02-21 04:00:00",26,"4.14",NULL
"2018-02-21 05:00:00",26,"2.73",NULL
"2018-02-21 06:00:00",26,"2.84",NULL
"2018-02-21 07:00:00",26,"1.43",NULL
"2018-02-21 08:00:00",26,"1.92",NULL
"2018-02-21 09:00:00",26,"4.68",NULL
"2018-02-21 10:00:00",26,"6.69",NULL
"2018-02-21 11:00:00",26,"6.78",NULL
"2018-02-21 12:00:00",26,"8.08",NULL
"2018-02-21 13:00:00",26,"8.22",NULL
"2018-02-21 14:00:00",26,"7.11",NULL
"2018-02-21 15:00:00",26,"6.19",NULL
"2018-02-21 16:00:00",26,"6.49",NULL
"2018-02-21 17:00:00",26,"6.26",NULL
"2018-02-21 18:00:00",26,"6.81",NULL
"2018-02-21 19:00:00",26,"8.06",NULL
"2018-02-21 20:00:00",26,"9.31",NULL
"2018-02-21 21:00:00",26,"9.5",NULL
"2018-02-21 22:00:00",26,"10.29",NULL
"2018-02-21 23:00:00",26,"10.57",NULL
"2018-02-24 00:00:00",26,"19.59",NULL
"2018-02-24 01:00:00",26,"15.77",NULL
"2018-02-24 02:00:00",26,"17.18",NULL
"2018-02-24 03:00:00",26,"18.93",NULL
"2018-02-24 04:00:00",26,"20.77",NULL
"2018-02-24 05:00:00",26,"21.53",NULL
"2018-02-24 06:00:00",26,"22.23",NULL
"2018-02-24 07:00:00",26,"19.42",NULL
"2018-02-24 08:00:00",26,"33.38",NULL
"2018-02-24 09:00:00",26,"62.81",NULL
"2018-02-24 10:00:00",26,"61.24",NULL
"2018-02-24 11:00:00",26,"57.25",NULL
"2018-02-24 12:00:00",26,"54.92",NULL
"2018-02-24 13:00:00",26,"48.64",NULL
"2018-02-24 14:00:00",26,"38.47",NULL
"2018-02-24 15:00:00",26,"31.42",NULL
"2018-02-24 16:00:00",26,"28.02",NULL
"2018-02-24 17:00:00",26,"22.15",NULL
"2018-02-24 18:00:00",26,"23.3",NULL
"2018-02-24 19:00:00",26,"31.45",NULL
"2018-02-24 20:00:00",26,"44.47",NULL
"2018-02-24 21:00:00",26,"65.37",NULL
"2018-02-24 22:00:00",26,"73.84",NULL
"2018-02-24 23:00:00",26,"77.42",NULL
"2018-02-25 00:00:00",26,"75.69",NULL
"2018-02-25 01:00:00",26,"71.97",NULL
"2018-02-25 02:00:00",26,"65.8",NULL
"2018-02-25 03:00:00",26,"56.54",NULL
"2018-02-25 04:00:00",26,"49.77",NULL
"2018-02-25 05:00:00",26,"44.32",NULL
"2018-02-25 06:00:00",26,"40.32",NULL
"2018-02-25 07:00:00",26,"38.09",NULL
"2018-02-25 08:00:00",26,"34.56",NULL
"2018-02-25 09:00:00",26,"33.52",NULL
"2018-02-25 10:00:00",26,"34.24",NULL
"2018-02-25 11:00:00",26,"29.86",NULL
"2018-02-25 12:00:00",26,"23.86",NULL
"2018-02-25 13:00:00",26,"21.03",NULL
"2018-02-25 14:00:00",26,"16.67",NULL
"2018-02-25 15:00:00",26,"15.43",NULL
"2018-02-25 16:00:00",26,"13.9",NULL
"2018-02-25 17:00:00",26,"11.76",NULL
"2018-02-25 18:00:00",26,"9.64",NULL
"2018-02-25 19:00:00",26,"9.27",NULL
"2018-02-25 20:00:00",26,"10.46",NULL
"2018-02-25 21:00:00",26,"12.87",NULL
"2018-02-25 22:00:00",26,"14.9",NULL
"2018-02-25 23:00:00",26,"16.42",NULL
"2018-02-27 09:00:00",26,"32.05",NULL
"2018-02-27 10:00:00",26,"27.11",NULL
"2018-02-27 11:00:00",26,"2.68",NULL
"2018-02-27 12:00:00",26,"1",NULL
"2018-02-27 13:00:00",26,"1",NULL
"2018-02-27 14:00:00",26,"1",NULL
"2018-02-27 15:00:00",26,"4.1",NULL
"2018-02-27 16:00:00",26,"8.47",NULL
"2018-02-27 17:00:00",26,"17.09",NULL
"2018-02-27 18:00:00",26,"31.16",NULL
"2018-02-27 19:00:00",26,"43.6",NULL
"2018-02-27 20:00:00",26,"46.2",NULL
"2018-02-27 21:00:00",26,"40.95",NULL
"2018-02-27 22:00:00",26,"32.21",NULL
"2018-02-27 23:00:00",26,"24.79",NULL
"2018-03-01 00:00:00",26,"9.33",NULL
"2018-03-01 01:00:00",26,"12.97",NULL
"2018-03-01 02:00:00",26,"18.58",NULL
"2018-03-01 03:00:00",26,"21.23",NULL
"2018-03-01 04:00:00",26,"20.23",NULL
"2018-03-01 05:00:00",26,"17.47",NULL
"2018-03-01 06:00:00",26,"16.71",NULL
"2018-03-01 07:00:00",26,"16.85",NULL
"2018-03-01 08:00:00",26,"15.65",NULL
"2018-03-01 09:00:00",26,"14.44",NULL
"2018-03-01 10:00:00",26,"15",NULL
"2018-03-01 11:00:00",26,"12",NULL
"2018-03-01 12:00:00",26,"8.99",NULL
"2018-03-01 13:00:00",26,"10.57",NULL
"2018-03-01 14:00:00",26,"15.83",NULL
"2018-03-01 15:00:00",26,"18.3",NULL
"2018-03-01 16:00:00",26,"19.32",NULL
"2018-03-01 17:00:00",26,"19.51",NULL
"2018-03-01 18:00:00",26,"19.17",NULL
"2018-03-01 19:00:00",26,"16.1",NULL
"2018-03-01 20:00:00",26,"14.02",NULL
"2018-03-01 21:00:00",26,"14.55",NULL
"2018-03-01 22:00:00",26,"10.6",NULL
"2018-03-01 23:00:00",26,"6.22",NULL
"2018-03-02 00:00:00",26,"4.05",NULL
"2018-03-02 01:00:00",26,"3.44",NULL
"2018-03-02 02:00:00",26,"4.45",NULL
"2018-03-02 03:00:00",26,"4.29",NULL
"2018-03-02 04:00:00",26,"3.81",NULL
"2018-03-02 05:00:00",26,"3.58",NULL
"2018-03-02 06:00:00",26,"4.6",NULL
"2018-03-02 07:00:00",26,"4.35",NULL
"2018-03-02 08:00:00",26,"7.81",NULL
"2018-03-02 09:00:00",26,"11.32",NULL
"2018-03-02 10:00:00",26,"14.6",NULL
"2018-03-02 11:00:00",26,"11.28",NULL
"2018-03-02 12:00:00",26,"11",NULL
"2018-03-02 13:00:00",26,"17.68",NULL
"2018-03-02 14:00:00",26,"19.05",NULL
"2018-03-02 15:00:00",26,"19.41",NULL
"2018-03-02 16:00:00",26,"16.73",NULL
"2018-03-02 17:00:00",26,"13.24",NULL
"2018-03-02 18:00:00",26,"12.73",NULL
"2018-03-02 19:00:00",26,"12.68",NULL
"2018-03-02 20:00:00",26,"13.69",NULL
"2018-03-02 21:00:00",26,"13.31",NULL
"2018-03-02 22:00:00",26,"11.45",NULL
"2018-03-02 23:00:00",26,"8.29",NULL
"2018-03-03 00:00:00",26,"6.88",NULL
"2018-03-03 01:00:00",26,"2.75",NULL
"2018-03-03 02:00:00",26,"4.51",NULL
"2018-03-03 03:00:00",26,"5.82",NULL
"2018-03-03 04:00:00",26,"8.16",NULL
"2018-03-03 05:00:00",26,"9.55",NULL
"2018-03-03 06:00:00",26,"8.82",NULL
"2018-03-03 07:00:00",26,"8.73",NULL
"2018-03-03 08:00:00",26,"10.84",NULL
"2018-03-03 09:00:00",26,"14.74",NULL
"2018-03-03 10:00:00",26,"12.51",NULL
"2018-03-03 11:00:00",26,"8.91",NULL
"2018-03-03 12:00:00",26,"4.88",NULL
"2018-03-03 13:00:00",26,"2.14",NULL
"2018-03-03 14:00:00",26,"2.04",NULL
"2018-03-03 15:00:00",26,"1.48",NULL
"2018-03-03 16:00:00",26,"2.42",NULL
"2018-03-03 17:00:00",26,"3.44",NULL
"2018-03-03 18:00:00",26,"4.89",NULL
"2018-03-03 19:00:00",26,"9.16",NULL
"2018-03-03 20:00:00",26,"10.76",NULL
"2018-03-03 21:00:00",26,"11.44",NULL
"2018-03-03 22:00:00",26,"11.11",NULL
"2018-03-03 23:00:00",26,"11.23",NULL
"2018-03-04 00:00:00",26,"10.05",NULL
"2018-03-04 01:00:00",26,"12.59",NULL
"2018-03-04 02:00:00",26,"10.87",NULL
"2018-03-04 03:00:00",26,"11.13",NULL
"2018-03-04 04:00:00",26,"8.9",NULL
"2018-03-04 05:00:00",26,"7.42",NULL
"2018-03-04 06:00:00",26,"6.82",NULL
"2018-03-04 07:00:00",26,"7.08",NULL
"2018-03-04 08:00:00",26,"6.23",NULL
"2018-03-04 09:00:00",26,"6.57",NULL
"2018-03-04 10:00:00",26,"6.16",NULL
"2018-03-04 11:00:00",26,"3.53",NULL
"2018-03-04 12:00:00",26,"3.29",NULL
"2018-03-04 13:00:00",26,"3.22",NULL
"2018-03-04 14:00:00",26,"3.39",NULL
"2018-03-04 15:00:00",26,"4.51",NULL
"2018-03-04 16:00:00",26,"2.75",NULL
"2018-03-04 17:00:00",26,"2.13",NULL
"2018-03-04 18:00:00",26,"2.27",NULL
"2018-03-04 19:00:00",26,"6.02",NULL
"2018-03-04 20:00:00",26,"16.67",NULL
"2018-03-04 21:00:00",26,"23.56",NULL
"2018-03-04 22:00:00",26,"27.23",NULL
"2018-03-04 23:00:00",26,"25.85",NULL
"2018-03-05 00:00:00",26,"21.36",NULL
"2018-03-05 01:00:00",26,"18.98",NULL
"2018-03-05 02:00:00",26,"14.51",NULL
"2018-03-05 03:00:00",26,"11.21",NULL
"2018-03-05 04:00:00",26,"9.71",NULL
"2018-03-05 05:00:00",26,"8.2",NULL
"2018-03-05 06:00:00",26,"7.32",NULL
"2018-03-05 07:00:00",26,"5.4",NULL
"2018-03-05 08:00:00",26,"6.09",NULL
"2018-03-05 09:00:00",26,"7.01",NULL
"2018-03-05 10:00:00",26,"7.39",NULL
"2018-03-05 11:00:00",26,"7.15",NULL
"2018-03-05 12:00:00",26,"4.62",NULL
"2018-03-05 13:00:00",26,"4.1",NULL
"2018-03-05 14:00:00",26,"4.6",NULL
"2018-03-05 15:00:00",26,"4.4",NULL
"2018-03-05 16:00:00",26,"6.33",NULL
"2018-03-05 17:00:00",26,"8.35",NULL
"2018-03-05 18:00:00",26,"9.49",NULL
"2018-03-05 19:00:00",26,"8.88",NULL
"2018-03-05 20:00:00",26,"7.84",NULL
"2018-03-05 21:00:00",26,"6.69",NULL
"2018-03-05 22:00:00",26,"5.31",NULL
"2018-03-05 23:00:00",26,"4.01",NULL
"2018-03-06 00:00:00",26,"3.48",NULL
"2018-03-06 01:00:00",26,"3.32",NULL
"2018-03-06 02:00:00",26,"2",NULL
"2018-03-06 03:00:00",26,"2.6",NULL
"2018-03-06 04:00:00",26,"3.17",NULL
"2018-03-06 05:00:00",26,"3.15",NULL
"2018-03-06 06:00:00",26,"3.93",NULL
"2018-03-06 07:00:00",26,"4.64",NULL
"2018-03-06 08:00:00",26,"4.8",NULL
"2018-03-06 09:00:00",26,"7.22",NULL
"2018-03-06 10:00:00",26,"9.31",NULL
"2018-03-06 11:00:00",26,"6.36",NULL
"2018-03-06 12:00:00",26,"4.71",NULL
"2018-03-06 13:00:00",26,"2.32",NULL
"2018-03-06 14:00:00",26,"2.92",NULL
"2018-03-06 15:00:00",26,"2.32",NULL
"2018-03-06 16:00:00",26,"2",NULL
"2018-03-06 17:00:00",26,"2.74",NULL
"2018-03-06 18:00:00",26,"2.53",NULL
"2018-03-06 19:00:00",26,"3.34",NULL
"2018-03-06 20:00:00",26,"5.82",NULL
"2018-03-06 21:00:00",26,"8.99",NULL
"2018-03-06 22:00:00",26,"10.12",NULL
"2018-03-06 23:00:00",26,"9.6",NULL
"2018-03-07 00:00:00",26,"10.4",NULL
"2018-03-07 01:00:00",26,"12.42",NULL
"2018-03-07 02:00:00",26,"10.66",NULL
"2018-03-07 03:00:00",26,"8.22",NULL
"2018-03-07 04:00:00",26,"5.49",NULL
"2018-03-07 05:00:00",26,"4.23",NULL
"2018-03-07 06:00:00",26,"4.96",NULL
"2018-03-07 07:00:00",26,"7.33",NULL
"2018-03-07 08:00:00",26,"10.51",NULL
"2018-03-07 09:00:00",26,"13.02",NULL
"2018-03-07 10:00:00",26,"13.46",NULL
"2018-03-07 11:00:00",26,"10.49",NULL
"2018-03-07 12:00:00",26,"7.9",NULL
"2018-03-07 13:00:00",26,"7.52",NULL
"2018-03-07 14:00:00",26,"6.29",NULL
"2018-03-07 15:00:00",26,"5.69",NULL
"2018-03-07 16:00:00",26,"5.16",NULL
"2018-03-07 17:00:00",26,"4.89",NULL
"2018-03-07 18:00:00",26,"6.01",NULL
"2018-03-07 19:00:00",26,"10.16",NULL
"2018-03-07 20:00:00",26,"18.73",NULL
"2018-03-07 21:00:00",26,"25.06",NULL
"2018-03-07 22:00:00",26,"27.97",NULL
"2018-03-07 23:00:00",26,"25.07",NULL
"2018-03-08 00:00:00",26,"19.37",NULL
"2018-03-08 01:00:00",26,"11.64",NULL
"2018-03-08 02:00:00",26,"10.21",NULL
"2018-03-08 03:00:00",26,"8.32",NULL
"2018-03-08 04:00:00",26,"8.78",NULL
"2018-03-08 05:00:00",26,"9.73",NULL
"2018-03-08 06:00:00",26,"10.87",NULL
"2018-03-08 07:00:00",26,"13.9",NULL
"2018-03-08 08:00:00",26,"16.09",NULL
"2018-03-08 09:00:00",26,"14.94",NULL
"2018-03-08 10:00:00",26,"26.23",NULL
"2018-03-08 11:00:00",26,"38.29",NULL
"2018-03-08 12:00:00",26,"38.75",NULL
"2018-03-08 13:00:00",26,"32.62",NULL
"2018-03-08 14:00:00",26,"23.4",NULL
"2018-03-08 15:00:00",26,"15.71",NULL
"2018-03-08 16:00:00",26,"13.23",NULL
"2018-03-08 17:00:00",26,"12.38",NULL
"2018-03-08 18:00:00",26,"16.08",NULL
"2018-03-08 19:00:00",26,"19.81",NULL
"2018-03-08 20:00:00",26,"25.18",NULL
"2018-03-08 21:00:00",26,"28.07",NULL
"2018-03-08 22:00:00",26,"29.86",NULL
"2018-03-08 23:00:00",26,"27.63",NULL
"2018-03-09 00:00:00",26,"25.04",NULL
"2018-03-09 01:00:00",26,"21.1",NULL
"2018-03-09 02:00:00",26,"19.62",NULL
"2018-03-09 03:00:00",26,"19.97",NULL
"2018-03-09 04:00:00",26,"20.31",NULL
"2018-03-09 05:00:00",26,"18.18",NULL
"2018-03-09 06:00:00",26,"16.85",NULL
"2018-03-09 07:00:00",26,"18.43",NULL
"2018-03-09 08:00:00",26,"19.18",NULL
"2018-03-09 09:00:00",26,"23.91",NULL
"2018-03-09 10:00:00",26,"28.32",NULL
"2018-03-09 11:00:00",26,"30.54",NULL
"2018-03-09 12:00:00",26,"32.22",NULL
"2018-03-09 13:00:00",26,"29.82",NULL
"2018-03-09 14:00:00",26,"24.78",NULL
"2018-03-09 15:00:00",26,"19.73",NULL
"2018-03-09 16:00:00",26,"18.54",NULL
"2018-03-09 17:00:00",26,"20.63",NULL
"2018-03-09 18:00:00",26,"22.82",NULL
"2018-03-09 19:00:00",26,"28.05",NULL
"2018-03-09 20:00:00",26,"30.3",NULL
"2018-03-09 21:00:00",26,"31.51",NULL
"2018-03-09 22:00:00",26,"27.57",NULL
"2018-03-09 23:00:00",26,"22.23",NULL
"2018-03-10 00:00:00",26,"19.29",NULL
"2018-03-10 01:00:00",26,"16.72",NULL
"2018-03-10 02:00:00",26,"14.27",NULL
"2018-03-10 03:00:00",26,"12.63",NULL
"2018-03-10 04:00:00",26,"11.21",NULL
"2018-03-10 05:00:00",26,"11.21",NULL
"2018-03-10 06:00:00",26,"11.42",NULL
"2018-03-10 07:00:00",26,"12.28",NULL
"2018-03-10 08:00:00",26,"12.66",NULL
"2018-03-10 09:00:00",26,"13.6",NULL
"2018-03-10 10:00:00",26,"14.12",NULL
"2018-03-10 11:00:00",26,"13.02",NULL
"2018-03-10 12:00:00",26,"14.23",NULL
"2018-03-10 13:00:00",26,"14.32",NULL
"2018-03-10 14:00:00",26,"12.91",NULL
"2018-03-10 15:00:00",26,"11.08",NULL
"2018-03-10 16:00:00",26,"9.31",NULL
"2018-03-10 17:00:00",26,"6.73",NULL
"2018-03-10 18:00:00",26,"6.05",NULL
"2018-03-10 19:00:00",26,"6.48",NULL
"2018-03-10 20:00:00",26,"7.56",NULL
"2018-03-10 21:00:00",26,"10.76",NULL
"2018-03-10 22:00:00",26,"13.55",NULL
"2018-03-10 23:00:00",26,"17.19",NULL
"2018-03-11 00:00:00",26,"16.8",NULL
"2018-03-11 01:00:00",26,"19.28",NULL
"2018-03-11 02:00:00",26,"18.34",NULL
"2018-03-11 03:00:00",26,"15.33",NULL
"2018-03-11 04:00:00",26,"12.81",NULL
"2018-03-11 05:00:00",26,"11.29",NULL
"2018-03-11 06:00:00",26,"8.79",NULL
"2018-03-11 07:00:00",26,"8.88",NULL
"2018-03-11 08:00:00",26,"18.27",NULL
"2018-03-11 09:00:00",26,"29.23",NULL
"2018-03-11 10:00:00",26,"27.07",NULL
"2018-03-11 11:00:00",26,"21.93",NULL
"2018-03-11 12:00:00",26,"17.06",NULL
"2018-03-11 13:00:00",26,"11.74",NULL
"2018-03-11 14:00:00",26,"8.36",NULL
"2018-03-11 15:00:00",26,"7.43",NULL
"2018-03-11 16:00:00",26,"6.64",NULL
"2018-03-11 17:00:00",26,"7.02",NULL
"2018-03-11 18:00:00",26,"8.01",NULL
"2018-03-11 19:00:00",26,"8.83",NULL
"2018-03-11 20:00:00",26,"8.75",NULL
"2018-03-11 21:00:00",26,"6.02",NULL
"2018-03-11 22:00:00",26,"4.04",NULL
"2018-03-11 23:00:00",26,"4.24",NULL
"2018-03-12 00:00:00",26,"4.94",NULL
"2018-03-12 01:00:00",26,"5.51",NULL
"2018-03-12 02:00:00",26,"4.32",NULL
"2018-03-12 03:00:00",26,"2.93",NULL
"2018-03-12 04:00:00",26,"2.57",NULL
"2018-03-12 05:00:00",26,"2.84",NULL
"2018-03-12 06:00:00",26,"2.91",NULL
"2018-03-12 07:00:00",26,"4.8",NULL
"2018-03-12 08:00:00",26,"7.57",NULL
"2018-03-12 09:00:00",26,"9.6",NULL
"2018-03-12 10:00:00",26,"7.2",NULL
"2018-03-12 11:00:00",26,"7.1",NULL
"2018-03-12 12:00:00",26,"6.96",NULL
"2018-03-12 13:00:00",26,"5.01",NULL
"2018-03-12 14:00:00",26,"4.38",NULL
"2018-03-12 15:00:00",26,"1.97",NULL
"2018-03-12 16:00:00",26,"2.06",NULL
"2018-03-12 17:00:00",26,"3.43",NULL
"2018-03-12 18:00:00",26,"3.77",NULL
"2018-03-12 19:00:00",26,"4.26",NULL
"2018-03-12 20:00:00",26,"6.17",NULL
"2018-03-12 21:00:00",26,"7.28",NULL
"2018-03-12 22:00:00",26,"9.96",NULL
"2018-03-12 23:00:00",26,"9.33",NULL
"2018-03-13 00:00:00",26,"8.27",NULL
"2018-03-13 01:00:00",26,"5.35",NULL
"2018-03-13 02:00:00",26,"6.24",NULL
"2018-03-13 03:00:00",26,"9.04",NULL
"2018-03-13 04:00:00",26,"13.74",NULL
"2018-03-13 05:00:00",26,"15.83",NULL
"2018-03-13 06:00:00",26,"16.51",NULL
"2018-03-13 07:00:00",26,"16.53",NULL
"2018-03-13 08:00:00",26,"18.53",NULL
"2018-03-13 09:00:00",26,"18.91",NULL
"2018-03-13 10:00:00",26,"18.13",NULL
"2018-03-13 11:00:00",26,"17.08",NULL
"2018-03-13 12:00:00",26,"19.18",NULL
"2018-03-13 13:00:00",26,"19.12",NULL
"2018-03-13 14:00:00",26,"17.93",NULL
"2018-03-13 15:00:00",26,"15.95",NULL
"2018-03-13 16:00:00",26,"17.76",NULL
"2018-03-13 17:00:00",26,"17.53",NULL
"2018-03-13 18:00:00",26,"16.76",NULL
"2018-03-13 19:00:00",26,"16.1",NULL
"2018-03-13 20:00:00",26,"17.56",NULL
"2018-03-13 21:00:00",26,"20.65",NULL
"2018-03-13 22:00:00",26,"21.94",NULL
"2018-03-13 23:00:00",26,"21.58",NULL
"2018-03-14 00:00:00",26,"18.88",NULL
"2018-03-14 01:00:00",26,"11.38",NULL
