"road_type","id_vehicle","vehicles_percentage","road_slope"
"urban",95,"80",NULL
"rural",95,"10",NULL
"highway",95,"10",NULL
"urban",96,"80",NULL
"rural",96,"10",NULL
"highway",96,"10",NULL
"urban",97,"80",NULL
"highway",97,"10",NULL
"urban",98,"80",NULL
"rural",98,"10",NULL
"highway",98,"10",NULL
"urban",99,"80",NULL
"rural",99,"10",NULL
"highway",99,"10",NULL
"urban",100,"80",NULL
"rural",100,"10",NULL
"highway",123,"10",NULL
"urban",124,"80",NULL
"rural",124,"10",NULL
"highway",124,"10",NULL
"urban",125,"80",NULL
"rural",125,"10",NULL
"highway",125,"10",NULL
"rural",126,"10",NULL
"highway",126,"10",NULL
"urban",127,"80",NULL
"rural",127,"10",NULL
"highway",127,"10",NULL
"urban",128,"80",NULL
"rural",128,"10",NULL
"highway",128,"10",NULL
"urban",129,"80",NULL
"rural",129,"10",NULL
"urban",130,"80",NULL
"rural",130,"10",NULL
"highway",130,"10",NULL
"urban",131,"80",NULL
"rural",131,"10",NULL
"highway",131,"10",NULL
"urban",132,"80",NULL
"rural",132,"10",NULL
"highway",132,"10",NULL
"urban",133,"80",NULL
"highway",133,"10",NULL
"urban",134,"80",NULL
"rural",134,"10",NULL
"highway",134,"10",NULL
"urban",135,"80",NULL
"rural",135,"10",NULL
"highway",135,"10",NULL
"urban",136,"80",NULL
"rural",136,"10",NULL
"highway",136,"10",NULL
"rural",137,"10",NULL
"highway",137,"10",NULL
"urban",138,"80",NULL
"rural",138,"10",NULL
"highway",138,"10",NULL
"urban",139,"80",NULL
"rural",139,"10",NULL
"highway",139,"10",NULL
"urban",140,"80",NULL
"rural",140,"10",NULL
"urban",141,"80",NULL
"rural",141,"10",NULL
"highway",141,"10",NULL
"urban",142,"80",NULL
"rural",142,"10",NULL
"highway",142,"10",NULL
"urban",143,"80",NULL
"rural",143,"10",NULL
"highway",143,"10",NULL
"urban",144,"80",NULL
"highway",144,"10",NULL
"urban",145,"80",NULL
"rural",145,"10",NULL
"highway",145,"10",NULL
"urban",146,"80",NULL
"rural",146,"10",NULL
"highway",146,"10",NULL
"urban",147,"80",NULL
"rural",147,"10",NULL
"highway",147,"10",NULL
"rural",148,"10",NULL
"highway",148,"10",NULL
"urban",149,"80",NULL
"rural",149,"10",NULL
"highway",149,"10",NULL
"urban",150,"80",NULL
"rural",150,"10",NULL
"highway",150,"10",NULL
"urban",151,"80",NULL
"rural",151,"10",NULL
"urban",152,"80",NULL
"rural",152,"10",NULL
"highway",152,"10",NULL
"urban",153,"80",NULL
"rural",153,"10",NULL
"highway",153,"10",NULL
"urban",154,"80",NULL
"rural",154,"10",NULL
"highway",154,"10",NULL
"urban",155,"80",NULL
"highway",155,"10",NULL
"urban",156,"80",NULL
"rural",156,"10",NULL
"highway",156,"10",NULL
"urban",157,"80",NULL
"rural",157,"10",NULL
"highway",157,"10",NULL
"urban",158,"80",NULL
"rural",158,"10",NULL
"highway",158,"10",NULL
"rural",159,"10",NULL
"highway",159,"10",NULL
"urban",160,"80",NULL
"rural",160,"10",NULL
"highway",160,"10",NULL
"urban",161,"80",NULL
"rural",161,"10",NULL
"highway",161,"10",NULL
"urban",162,"80",NULL
"rural",185,"10",NULL
"highway",185,"10",NULL
"urban",186,"80",NULL
"rural",186,"10",NULL
"highway",186,"10",NULL
"urban",187,"80",NULL
"rural",187,"10",NULL
"urban",188,"80",NULL
"rural",188,"10",NULL
"highway",188,"10",NULL
"urban",189,"80",NULL
"rural",189,"10",NULL
"highway",189,"10",NULL
"urban",190,"80",NULL
"rural",190,"10",NULL
"highway",190,"10",NULL
"urban",191,"80",NULL
"highway",191,"10",NULL
"urban",192,"80",NULL
"rural",192,"10",NULL
"highway",192,"10",NULL
"urban",193,"80",NULL
"rural",193,"10",NULL
"highway",193,"10",NULL
"urban",194,"80",NULL
"rural",194,"10",NULL
"highway",194,"10",NULL
"rural",195,"10",NULL
"highway",195,"10",NULL
"urban",196,"80",NULL
"rural",196,"10",NULL
"highway",196,"10",NULL
"urban",197,"80",NULL
"rural",197,"10",NULL
"highway",197,"10",NULL
"urban",198,"80",NULL
"rural",198,"10",NULL
"urban",199,"80",NULL
"rural",199,"10",NULL
"highway",199,"10",NULL
"urban",200,"80",NULL
"rural",200,"10",NULL
"highway",200,"10",NULL
"urban",201,"80",NULL
"rural",201,"10",NULL
"highway",201,"10",NULL
"urban",202,"80",NULL
"highway",202,"10",NULL
"urban",203,"80",NULL
"rural",203,"10",NULL
"highway",203,"10",NULL
"urban",204,"80",NULL
"rural",204,"10",NULL
"highway",204,"10",NULL
"urban",205,"80",NULL
"rural",205,"10",NULL
"highway",205,"10",NULL
"rural",206,"10",NULL
"highway",206,"10",NULL
"urban",207,"80",NULL
"rural",207,"10",NULL
"highway",207,"10",NULL
"urban",208,"80",NULL
"rural",208,"10",NULL
"highway",208,"10",NULL
"urban",209,"80",NULL
"rural",209,"10",NULL
"urban",210,"80",NULL
"rural",210,"10",NULL
"highway",210,"10",NULL
"urban",211,"80",NULL
"rural",211,"10",NULL
"highway",211,"10",NULL
"urban",212,"80",NULL
"rural",212,"10",NULL
"highway",212,"10",NULL
"urban",213,"80",NULL
"highway",213,"10",NULL
"urban",214,"80",NULL
"rural",214,"10",NULL
"highway",214,"10",NULL
"urban",215,"80",NULL
"rural",215,"10",NULL
"highway",215,"10",NULL
"urban",216,"80",NULL
"rural",216,"10",NULL
"highway",216,"10",NULL
"rural",217,"10",NULL
"highway",217,"10",NULL
"urban",218,"80",NULL
"rural",218,"10",NULL
"highway",218,"10",NULL
"urban",219,"80",NULL
"rural",219,"10",NULL
"highway",219,"10",NULL
"urban",220,"80",NULL
"rural",220,"10",NULL
"urban",221,"80",NULL
"rural",221,"10",NULL
"highway",221,"10",NULL
"urban",222,"80",NULL
"rural",222,"10",NULL
"highway",222,"10",NULL
"urban",223,"80",NULL
"rural",223,"10",NULL
"highway",223,"10",NULL
"urban",247,"80",NULL
"rural",247,"10",NULL
"highway",247,"10",NULL
"urban",248,"80",NULL
"rural",248,"10",NULL
"highway",248,"10",NULL
"urban",249,"80",NULL
"highway",249,"10",NULL
"urban",250,"80",NULL
"rural",250,"10",NULL
"highway",250,"10",NULL
"urban",251,"80",NULL
"rural",251,"10",NULL
"highway",251,"10",NULL
"urban",252,"80",NULL
"rural",252,"10",NULL
"highway",252,"10",NULL
"rural",253,"10",NULL
"highway",253,"10",NULL
"urban",254,"80",NULL
"rural",254,"10",NULL
"highway",254,"10",NULL
"urban",255,"80",NULL
"rural",255,"10",NULL
"highway",255,"10",NULL
"urban",256,"80",NULL
"rural",256,"10",NULL
"urban",257,"80",NULL
"rural",257,"10",NULL
"highway",257,"10",NULL
"urban",258,"80",NULL
"rural",258,"10",NULL
"highway",258,"10",NULL
"urban",259,"80",NULL
"rural",259,"10",NULL
"highway",259,"10",NULL
"urban",260,"80",NULL
"highway",260,"10",NULL
"urban",261,"80",NULL
"rural",261,"10",NULL
"highway",261,"10",NULL
"urban",262,"80",NULL
"rural",262,"10",NULL
"highway",262,"10",NULL
"urban",263,"80",NULL
"rural",263,"10",NULL
"highway",263,"10",NULL
"rural",264,"10",NULL
"highway",264,"10",NULL
"urban",265,"80",NULL
"rural",265,"10",NULL
"highway",265,"10",NULL
"urban",266,"80",NULL
"rural",266,"10",NULL
"highway",266,"10",NULL
"urban",267,"80",NULL
"rural",267,"10",NULL
"urban",268,"80",NULL
"rural",268,"10",NULL
"highway",268,"10",NULL
"urban",269,"80",NULL
"rural",269,"10",NULL
"highway",269,"10",NULL
"urban",270,"80",NULL
"rural",270,"10",NULL
"highway",270,"10",NULL
"urban",271,"80",NULL
"highway",271,"10",NULL
"urban",272,"80",NULL
"rural",272,"10",NULL
"highway",272,"10",NULL
"urban",273,"80",NULL
"rural",273,"10",NULL
"highway",273,"10",NULL
"urban",274,"80",NULL
"rural",274,"10",NULL
"highway",274,"10",NULL
"rural",275,"10",NULL
"highway",275,"10",NULL
"urban",276,"80",NULL
"rural",276,"10",NULL
"highway",276,"10",NULL
"urban",277,"80",NULL
"rural",277,"10",NULL
"highway",277,"10",NULL
"urban",278,"80",NULL
"rural",278,"10",NULL
"urban",279,"80",NULL
"rural",279,"10",NULL
"highway",279,"10",NULL
"urban",280,"80",NULL
"rural",280,"10",NULL
"highway",280,"10",NULL
"urban",281,"80",NULL
"rural",281,"10",NULL
"highway",281,"10",NULL
"urban",282,"80",NULL
"highway",282,"10",NULL
"urban",283,"80",NULL
"rural",283,"10",NULL
"highway",283,"10",NULL
"urban",284,"80",NULL
"rural",284,"10",NULL
"highway",284,"10",NULL
"urban",285,"80",NULL
"rural",285,"10",NULL
"highway",308,"10",NULL
"urban",309,"80",NULL
"rural",309,"10",NULL
"highway",309,"10",NULL
"urban",310,"80",NULL
"rural",310,"10",NULL
"highway",310,"10",NULL
"rural",311,"10",NULL
"highway",311,"10",NULL
"urban",312,"80",NULL
"rural",312,"10",NULL
"highway",312,"10",NULL
"urban",313,"80",NULL
"rural",313,"10",NULL
"highway",313,"10",NULL
"urban",314,"80",NULL
"rural",314,"10",NULL
"urban",315,"80",NULL
"rural",315,"10",NULL
"highway",315,"10",NULL
"urban",316,"80",NULL
"rural",316,"10",NULL
"highway",316,"10",NULL
"urban",317,"80",NULL
"rural",317,"10",NULL
"highway",317,"10",NULL
"urban",318,"80",NULL
"highway",318,"10",NULL
"urban",319,"80",NULL
"rural",319,"10",NULL
"highway",319,"10",NULL
"urban",320,"80",NULL
"rural",320,"10",NULL
"highway",320,"10",NULL
"urban",321,"80",NULL
"rural",321,"10",NULL
"highway",321,"10",NULL
"rural",322,"10",NULL
"highway",322,"10",NULL
"urban",323,"80",NULL
"rural",323,"10",NULL
"highway",323,"10",NULL
"urban",324,"80",NULL
"rural",324,"10",NULL
"highway",324,"10",NULL
"urban",325,"80",NULL
"rural",325,"10",NULL
"urban",326,"80",NULL
"rural",326,"10",NULL
"highway",326,"10",NULL
"urban",327,"80",NULL
"rural",327,"10",NULL
"highway",327,"10",NULL
"urban",328,"80",NULL
"rural",328,"10",NULL
"highway",328,"10",NULL
"urban",329,"80",NULL
"highway",329,"10",NULL
"urban",330,"80",NULL
"rural",330,"10",NULL
"highway",330,"10",NULL
"urban",331,"80",NULL
"rural",331,"10",NULL
"highway",331,"10",NULL
"urban",332,"80",NULL
"rural",332,"10",NULL
"highway",332,"10",NULL
"rural",333,"10",NULL
"highway",333,"10",NULL
"urban",334,"80",NULL
"rural",334,"10",NULL
"highway",334,"10",NULL
"urban",335,"80",NULL
"rural",335,"10",NULL
"highway",335,"10",NULL
"urban",336,"80",NULL
"rural",336,"10",NULL
"urban",337,"80",NULL
"rural",337,"10",NULL
"highway",337,"10",NULL
"urban",338,"80",NULL
"rural",338,"10",NULL
"highway",338,"10",NULL
"urban",339,"80",NULL
"rural",339,"10",NULL
"highway",339,"10",NULL
"urban",340,"80",NULL
"highway",340,"10",NULL
"urban",341,"80",NULL
"rural",341,"10",NULL
"highway",341,"10",NULL
"urban",342,"80",NULL
"rural",342,"10",NULL
"highway",342,"10",NULL
"urban",343,"80",NULL
"rural",343,"10",NULL
"highway",343,"10",NULL
"rural",344,"10",NULL
"highway",344,"10",NULL
"urban",345,"80",NULL
"rural",345,"10",NULL
"highway",345,"10",NULL
"urban",346,"80",NULL
"rural",346,"10",NULL
"highway",346,"10",NULL
"urban",347,"80",NULL
"rural",370,"10",NULL
"highway",370,"10",NULL
"urban",371,"80",NULL
"rural",371,"10",NULL
"highway",371,"10",NULL
"urban",372,"80",NULL
"rural",372,"10",NULL
"urban",373,"80",NULL
"rural",373,"10",NULL
"highway",373,"10",NULL
"urban",374,"80",NULL
"rural",374,"10",NULL
"highway",374,"10",NULL
"urban",375,"80",NULL
"rural",375,"10",NULL
"highway",375,"10",NULL
"urban",376,"80",NULL
"highway",376,"10",NULL
"urban",377,"80",NULL
"rural",377,"10",NULL
"highway",377,"10",NULL
"urban",378,"80",NULL
"rural",378,"10",NULL
"highway",378,"10",NULL
"urban",379,"80",NULL
"rural",379,"10",NULL
"highway",379,"10",NULL
"rural",380,"10",NULL
"highway",380,"10",NULL
"urban",381,"80",NULL
"rural",381,"10",NULL
"highway",381,"10",NULL
"urban",382,"80",NULL
"rural",382,"10",NULL
"highway",382,"10",NULL
"urban",383,"80",NULL
"rural",383,"10",NULL
"urban",384,"80",NULL
"rural",384,"10",NULL
"highway",384,"10",NULL
"urban",385,"80",NULL
"rural",385,"10",NULL
"highway",385,"10",NULL
"urban",386,"80",NULL
"rural",386,"10",NULL
"highway",386,"10",NULL
"urban",387,"80",NULL
"highway",387,"10",NULL
"urban",388,"80",NULL
"rural",388,"10",NULL
"highway",388,"10",NULL
"urban",389,"80",NULL
"rural",389,"10",NULL
"highway",389,"10",NULL
"urban",390,"80",NULL
"rural",390,"10",NULL
"highway",390,"10",NULL
"rural",391,"10",NULL
"highway",391,"10",NULL
"urban",392,"80",NULL
"rural",392,"10",NULL
"highway",392,"10",NULL
"urban",393,"80",NULL
"rural",393,"10",NULL
"highway",393,"10",NULL
"urban",394,"80",NULL
"rural",394,"10",NULL
"urban",395,"80",NULL
"rural",395,"10",NULL
"highway",395,"10",NULL
"urban",396,"80",NULL
"rural",396,"10",NULL
"highway",396,"10",NULL
"urban",397,"80",NULL
"rural",397,"10",NULL
"highway",397,"10",NULL
"urban",398,"80",NULL
"highway",398,"10",NULL
"urban",399,"80",NULL
"rural",399,"10",NULL
"highway",399,"10",NULL
"urban",400,"80",NULL
"rural",400,"10",NULL
"highway",400,"10",NULL
"urban",401,"80",NULL
"rural",401,"10",NULL
"highway",401,"10",NULL
"rural",402,"10",NULL
"highway",402,"10",NULL
"urban",403,"80",NULL
"rural",403,"10",NULL
"highway",403,"10",NULL
"urban",404,"80",NULL
"rural",404,"10",NULL
"highway",404,"10",NULL
"urban",405,"80",NULL
"rural",405,"10",NULL
"urban",406,"80",NULL
"rural",406,"10",NULL
"highway",406,"10",NULL
"urban",407,"80",NULL
"rural",407,"10",NULL
"highway",407,"10",NULL
"urban",408,"80",NULL
"rural",408,"10",NULL
"highway",408,"10",NULL
"urban",432,"80",NULL
"rural",432,"10",NULL
"highway",432,"10",NULL
"urban",433,"80",NULL
"rural",433,"10",NULL
"highway",433,"10",NULL
"urban",434,"80",NULL
"highway",434,"10",NULL
"urban",435,"80",NULL
"rural",435,"10",NULL
"highway",435,"10",NULL
"urban",436,"80",NULL
"rural",436,"10",NULL
"highway",436,"10",NULL
"urban",437,"80",NULL
"rural",437,"10",NULL
"highway",437,"10",NULL
"rural",438,"10",NULL
"highway",438,"10",NULL
"urban",439,"80",NULL
"rural",439,"10",NULL
"highway",439,"10",NULL
"urban",440,"80",NULL
"rural",440,"10",NULL
"highway",440,"10",NULL
"urban",441,"80",NULL
"rural",441,"10",NULL
"urban",442,"80",NULL
"rural",442,"10",NULL
"highway",442,"10",NULL
"urban",443,"80",NULL
"rural",443,"10",NULL
"highway",443,"10",NULL
"urban",444,"80",NULL
"rural",444,"10",NULL
"highway",444,"10",NULL
"urban",445,"80",NULL
"highway",445,"10",NULL
"urban",446,"80",NULL
"rural",446,"10",NULL
"highway",446,"10",NULL
"urban",447,"80",NULL
"rural",447,"10",NULL
"highway",447,"10",NULL
"urban",448,"80",NULL
"rural",448,"10",NULL
"highway",448,"10",NULL
"rural",449,"10",NULL
"highway",449,"10",NULL
"urban",450,"80",NULL
"rural",450,"10",NULL
"highway",450,"10",NULL
"urban",451,"80",NULL
"rural",451,"10",NULL
"highway",451,"10",NULL
"urban",452,"80",NULL
"rural",452,"10",NULL
"urban",453,"80",NULL
"rural",453,"10",NULL
"highway",453,"10",NULL
"urban",454,"80",NULL
"rural",454,"10",NULL
"highway",454,"10",NULL
"urban",455,"80",NULL
"rural",455,"10",NULL
"highway",455,"10",NULL
"urban",456,"80",NULL
"highway",456,"10",NULL
"urban",457,"80",NULL
"rural",457,"10",NULL
"highway",457,"10",NULL
"urban",458,"80",NULL
"rural",458,"10",NULL
"highway",458,"10",NULL
"urban",459,"80",NULL
"rural",459,"10",NULL
"highway",459,"10",NULL
"rural",460,"10",NULL
"highway",460,"10",NULL
"urban",461,"80",NULL
"rural",461,"10",NULL
"highway",461,"10",NULL
"urban",462,"80",NULL
"rural",462,"10",NULL
"highway",462,"10",NULL
"urban",463,"80",NULL
"rural",463,"10",NULL
"urban",464,"80",NULL
"rural",464,"10",NULL
"highway",464,"10",NULL
"urban",465,"80",NULL
"rural",465,"10",NULL
"highway",465,"10",NULL
"urban",466,"80",NULL
"rural",466,"10",NULL
"highway",466,"10",NULL
"urban",467,"80",NULL
"highway",467,"10",NULL
"urban",468,"80",NULL
"rural",468,"10",NULL
"highway",468,"10",NULL
"urban",469,"80",NULL
"rural",469,"10",NULL
"highway",469,"10",NULL
"urban",470,"80",NULL
"rural",470,"10",NULL
"highway",493,"10",NULL
"urban",494,"80",NULL
"rural",494,"10",NULL
"highway",494,"10",NULL
"urban",495,"80",NULL
"rural",495,"10",NULL
"highway",495,"10",NULL
"rural",496,"10",NULL
"highway",496,"10",NULL
"urban",497,"80",NULL
"rural",497,"10",NULL
"highway",497,"10",NULL
"urban",498,"80",NULL
"rural",498,"10",NULL
"highway",498,"10",NULL
"urban",499,"80",NULL
"rural",499,"10",NULL
"urban",500,"80",NULL
"rural",500,"10",NULL
"highway",500,"10",NULL
"urban",501,"80",NULL
"rural",501,"10",NULL
"highway",501,"10",NULL
"urban",502,"80",NULL
"rural",502,"10",NULL
"highway",502,"10",NULL
"urban",503,"80",NULL
"highway",503,"10",NULL
"urban",504,"80",NULL
"rural",504,"10",NULL
"highway",504,"10",NULL
"urban",505,"80",NULL
"rural",505,"10",NULL
"highway",505,"10",NULL
"urban",506,"80",NULL
"rural",506,"10",NULL
"highway",506,"10",NULL
"rural",507,"10",NULL
"highway",507,"10",NULL
"urban",508,"80",NULL
"rural",508,"10",NULL
"highway",508,"10",NULL
"urban",509,"80",NULL
"rural",509,"10",NULL
"highway",509,"10",NULL
"urban",510,"80",NULL
"rural",510,"10",NULL
"urban",511,"80",NULL
"rural",511,"10",NULL
"highway",511,"10",NULL
"urban",512,"80",NULL
"rural",512,"10",NULL
"highway",512,"10",NULL
"urban",513,"80",NULL
"rural",513,"10",NULL
"highway",513,"10",NULL
"urban",514,"80",NULL
"highway",514,"10",NULL
"urban",515,"80",NULL
"rural",515,"10",NULL
"highway",515,"10",NULL
"urban",516,"80",NULL
"rural",516,"10",NULL
"highway",516,"10",NULL
"urban",517,"80",NULL
"rural",517,"10",NULL
"highway",517,"10",NULL
"rural",518,"10",NULL
"highway",518,"10",NULL
"urban",519,"80",NULL
"rural",519,"10",NULL
"highway",519,"10",NULL
"urban",520,"80",NULL
"rural",520,"10",NULL
"highway",520,"10",NULL
"urban",521,"80",NULL
"rural",521,"10",NULL
"urban",522,"80",NULL
"rural",522,"10",NULL
"highway",522,"10",NULL
"urban",523,"80",NULL
"rural",523,"10",NULL
"highway",523,"10",NULL
"urban",524,"80",NULL
"rural",524,"10",NULL
"highway",524,"10",NULL
"urban",525,"80",NULL
"highway",525,"10",NULL
"urban",526,"80",NULL
"rural",526,"10",NULL
"highway",526,"10",NULL
"urban",527,"80",NULL
"rural",527,"10",NULL
"highway",527,"10",NULL
"urban",528,"80",NULL
"rural",528,"10",NULL
"highway",528,"10",NULL
"rural",529,"10",NULL
"highway",529,"10",NULL
"urban",530,"80",NULL
"rural",530,"10",NULL
"highway",530,"10",NULL
"urban",531,"80",NULL
"rural",531,"10",NULL
"highway",531,"10",NULL
"urban",532,"80",NULL
"rural",555,"10",NULL
"highway",555,"10",NULL
"urban",556,"80",NULL
"rural",556,"10",NULL
"highway",556,"10",NULL
"urban",557,"80",NULL
"rural",557,"10",NULL
"urban",558,"80",NULL
"rural",558,"10",NULL
"highway",558,"10",NULL
"urban",559,"80",NULL
"rural",559,"10",NULL
"highway",559,"10",NULL
"urban",560,"80",NULL
"rural",560,"10",NULL
"highway",560,"10",NULL
"urban",561,"80",NULL
"highway",561,"10",NULL
"urban",562,"80",NULL
"rural",562,"10",NULL
"highway",562,"10",NULL
"urban",563,"80",NULL
"rural",563,"10",NULL
"highway",563,"10",NULL
"urban",564,"80",NULL
"rural",564,"10",NULL
"highway",564,"10",NULL
"rural",565,"10",NULL
"highway",565,"10",NULL
"urban",566,"80",NULL
"rural",566,"10",NULL
"highway",566,"10",NULL
"urban",567,"80",NULL
"rural",567,"10",NULL
"highway",567,"10",NULL
"urban",568,"80",NULL
"rural",568,"10",NULL
"urban",569,"80",NULL
"rural",569,"10",NULL
"highway",569,"10",NULL
"urban",570,"80",NULL
"rural",570,"10",NULL
"highway",570,"10",NULL
"urban",571,"80",NULL
"rural",571,"10",NULL
"highway",571,"10",NULL
"urban",572,"80",NULL
"highway",572,"10",NULL
"urban",573,"80",NULL
"rural",573,"10",NULL
"highway",573,"10",NULL
"urban",574,"80",NULL
"rural",574,"10",NULL
"highway",574,"10",NULL
"urban",575,"80",NULL
"rural",575,"10",NULL
"highway",575,"10",NULL
"rural",576,"10",NULL
"highway",576,"10",NULL
"urban",577,"80",NULL
"rural",577,"10",NULL
"highway",577,"10",NULL
"urban",578,"80",NULL
"rural",578,"10",NULL
"highway",578,"10",NULL
"urban",579,"80",NULL
"rural",579,"10",NULL
"urban",580,"80",NULL
"rural",580,"10",NULL
"highway",580,"10",NULL
"urban",581,"80",NULL
"rural",581,"10",NULL
"highway",581,"10",NULL
"urban",582,"80",NULL
"rural",582,"10",NULL
"highway",582,"10",NULL
"urban",583,"80",NULL
"highway",583,"10",NULL
"urban",584,"80",NULL
"rural",584,"10",NULL
"highway",584,"10",NULL
"urban",585,"80",NULL
"rural",585,"10",NULL
"highway",585,"10",NULL
"urban",586,"80",NULL
